© 2000-2020 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
CD40 Signaling	4.75E-01	3.12E-02	NaN	MAP2K6,PIK3R2	
Pyrimidine Deoxyribonucleotides De Novo Biosynthesis I	4.7E-01	4.55E-02	NaN	NME2	
NGF Signaling	4.6E-01	2.68E-02	NaN	PIK3R2,SMPD1,TRIO	
ErbB4 Signaling	4.57E-01	3.03E-02	NaN	PIK3R2,PRKCG	
Tryptophan Degradation X (Mammalian, via Tryptamine)	4.55E-01	4.35E-02	NaN	ALDH2	
Tryptophan Degradation III (Eukaryotic)	4.55E-01	4.35E-02	NaN	EHHADH	
Glycolysis I	4.55E-01	4.35E-02	NaN	ENO3	
fMLP Signaling in Neutrophils	4.53E-01	2.65E-02	NaN	NCF2,PIK3R2,PRKCG	
T Helper Cell Differentiation	4.49E-01	2.99E-02	NaN	HLA-DOA,IL18	
Tight Junction Signaling	4.47E-01	2.47E-02	NaN	MYH11,MYH7B,PPM1L,PRKACB	
CXCR4 Signaling	4.47E-01	2.47E-02	NaN	ADCY6,PIK3R2,PRKCG,RAC3	
Glioblastoma Multiforme Signaling	4.47E-01	2.47E-02	NaN	PIK3R2,PLCD3,RAC3,WNT11	
Sperm Motility	4.47E-01	2.37E-02	NaN	MAP2K6,PDE2A,PLCD3,PRKACB,PRKCG	
FXR/RXR Activation	4.41E-01	2.61E-02	NaN	C4A/C4B,IL18,RXRA	
Growth Hormone Signaling	4.41E-01	2.94E-02	NaN	PIK3R2,PRKCG	
Gluconeogenesis I	4.4E-01	4.17E-02	NaN	ENO3	
GP6 Signaling Pathway	4.35E-01	2.59E-02	NaN	COL11A2,PIK3R2,PRKCG	
Basal Cell Carcinoma Signaling	4.33E-01	2.9E-02	NaN	GLIS2,WNT11	
Crosstalk between Dendritic Cells and Natural Killer Cells	4.33E-01	2.9E-02	NaN	CD209,IL18	
CCR3 Signaling in Eosinophils	4.29E-01	2.56E-02	NaN	LIMK1,PIK3R2,PRKCG	
D-myo-inositol (1,4,5)-Trisphosphate Biosynthesis	4.26E-01	4E-02	NaN	PLCD3	
Glutathione-mediated Detoxification	4.26E-01	4E-02	NaN	GSTP1	
Acute Phase Response Signaling	4.23E-01	2.4E-02	NaN	C4A/C4B,IL18,MAP2K6,PIK3R2	
Small Cell Lung Cancer Signaling	4.18E-01	2.82E-02	NaN	PIK3R2,RXRA	
Glioma Invasiveness Signaling	4.18E-01	2.82E-02	NaN	PIK3R2,RAC3	
cAMP-mediated signaling	4.17E-01	2.29E-02	NaN	ADCY6,AKAP1,CAMK1,PDE2A,PRKACB	
Ethanol Degradation II	4.12E-01	3.85E-02	NaN	ALDH2	
Apelin Liver Signaling Pathway	4.12E-01	3.85E-02	NaN	COL11A2	
G Beta Gamma Signaling	4.11E-01	2.5E-02	NaN	CACNG8,PRKACB,PRKCG	
Role of NFAT in Regulation of the Immune Response	4.03E-01	2.34E-02	NaN	FCGR2B,HLA-DOA,MEF2D,PIK3R2	
IL-15 Signaling	4.02E-01	2.74E-02	NaN	PIK3R2,RAC3	
Non-Small Cell Lung Cancer Signaling	4.02E-01	2.74E-02	NaN	PIK3R2,RXRA	
IL-17 Signaling	3.96E-01	2.7E-02	NaN	MAP2K6,PIK3R2	
Angiopoietin Signaling	3.96E-01	2.7E-02	NaN	GRB7,PIK3R2	
PI3K/AKT Signaling	3.95E-01	2.31E-02	NaN	INPP5J,PIK3R2,PPM1L,SYNJ2	
GDNF Family Ligand-Receptor Interactions	3.88E-01	2.67E-02	NaN	DOK3,PIK3R2	
B Cell Development	3.87E-01	3.57E-02	NaN	HLA-DOA	
Antigen Presentation Pathway	3.87E-01	3.57E-02	NaN	HLA-DOA	
Erythropoietin Signaling	3.82E-01	2.63E-02	NaN	PIK3R2,PRKCG	
Huntington's Disease Signaling	3.81E-01	2.2E-02	NaN	HAP1,PIK3R2,PRKCG,RCOR2,STX1A	
Reelin Signaling in Neurons	3.79E-01	2.38E-02	NaN	LIMK1,MAP2K6,PIK3R2	
Noradrenaline and Adrenaline Degradation	3.76E-01	3.45E-02	NaN	ALDH2	
Antiproliferative Role of Somatostatin Receptor 2	3.75E-01	2.6E-02	NaN	NT5C,PIK3R2	
Thyroid Cancer Signaling	3.75E-01	2.6E-02	NaN	KLK3,PIK3R2	
Synaptic Long Term Potentiation	3.74E-01	2.36E-02	NaN	PLCD3,PRKACB,PRKCG	
Gα12/13 Signaling	3.74E-01	2.36E-02	NaN	LPAR5,MEF2D,PIK3R2	
IL-3 Signaling	3.69E-01	2.56E-02	NaN	PIK3R2,PRKCG	
Role of BRCA1 in DNA Damage Response	3.56E-01	2.5E-02	NaN	FAAP100,SMARCA2	
Prolactin Signaling	3.56E-01	2.5E-02	NaN	PIK3R2,PRKCG	
Human Embryonic Stem Cell Pluripotency	3.5E-01	2.27E-02	NaN	KLK3,PIK3R2,WNT11	
Androgen Signaling	3.5E-01	2.27E-02	NaN	CACNG8,PRKACB,PRKCG	
Circadian Rhythm Signaling	3.45E-01	3.12E-02	NaN	NR1D1	
MIF-mediated Glucocorticoid Regulation	3.45E-01	3.12E-02	NaN	CD14	
Retinoate Biosynthesis I	3.45E-01	3.12E-02	NaN	DHRS3	
HER-2 Signaling in Breast Cancer	3.44E-01	2.44E-02	NaN	PIK3R2,PRKCG	
IL-9 Signaling	3.34E-01	3.03E-02	NaN	PIK3R2	
Inhibition of Angiogenesis by TSP1	3.34E-01	3.03E-02	NaN	HSPG2	
Aryl Hydrocarbon Receptor Signaling	3.31E-01	2.21E-02	NaN	ALDH2,GSTP1,RXRA	
PI3K Signaling in B Lymphocytes	3.31E-01	2.21E-02	NaN	FCGR2B,PIK3R2,PLCD3	
Hereditary Breast Cancer Signaling	3.27E-01	2.19E-02	NaN	FAAP100,PIK3R2,SMARCA2	
Superpathway of Methionine Degradation	3.25E-01	2.94E-02	NaN	CBS/CBSL	
Regulation of the Epithelial-Mesenchymal Transition Pathway	3.24E-01	2.11E-02	NaN	FGF11,MAP2K6,PIK3R2,WNT11	
Regulation of Actin-based Motility by Rho	3.21E-01	2.33E-02	NaN	LIMK1,RAC3	
RANK Signaling in Osteoclasts	3.21E-01	2.33E-02	NaN	MAP2K6,PIK3R2	
Cell Cycle Regulation by BTG Family Proteins	3.16E-01	2.86E-02	NaN	PPM1L	
Phagosome Maturation	3.13E-01	2.14E-02	NaN	NCF2,TUBB3,TUBD1	
Systemic Lupus Erythematosus In T Cell Signaling Pathway	3.09E-01	1.99E-02	NaN	HLA-DOA,MAP2K6,PIK3R2,PPM1L,RAB4A,RAC3	
Notch Signaling	3.08E-01	2.78E-02	NaN	DTX3	
Death Receptor Signaling	3.05E-01	2.25E-02	NaN	LIMK1,LMNA	
T Cell Exhaustion Signaling Pathway	3.01E-01	2.1E-02	NaN	HLA-DOA,PIK3R2,PPM1L	
Role of Cytokines in Mediating Communication between Immune Cells	2.99E-01	2.7E-02	NaN	IL18	
Hematopoiesis from Pluripotent Stem Cells	2.99E-01	2.7E-02	NaN	CD8B	
Factors Promoting Cardiogenesis in Vertebrates	2.98E-01	2.08E-02	NaN	PLCD3,PRKCG,WNT11	
GABA Receptor Signaling	2.94E-01	2.2E-02	NaN	ADCY6,CACNG8	
Epithelial Adherens Junction Signaling	2.93E-01	2.07E-02	NaN	MYH11,MYH7B,TUBB3	
Autoimmune Thyroid Disease Signaling	2.92E-01	2.63E-02	NaN	HLA-DOA	
tRNA Charging	2.92E-01	2.63E-02	NaN	TARS3	
Retinol Biosynthesis	2.92E-01	2.63E-02	NaN	DHRS3	
PAK Signaling	2.85E-01	2.15E-02	NaN	LIMK1,PIK3R2	
Mechanisms of Viral Exit from Host Cells	2.84E-01	2.56E-02	NaN	PRKCG	
Pyrimidine Ribonucleotides Interconversion	2.84E-01	2.56E-02	NaN	NME2	
Serotonin Receptor Signaling	2.84E-01	2.56E-02	NaN	ADCY6	
TGF-β Signaling	2.8E-01	2.13E-02	NaN	MAP2K6,ZFYVE9	
MIF Regulation of Innate Immunity	2.77E-01	2.5E-02	NaN	CD14	
nNOS Signaling in Skeletal Muscle Cells	2.77E-01	2.5E-02	NaN	CACNG8	
Integrin Signaling	2.77E-01	1.96E-02	NaN	GRB7,PIK3R2,RAC3,TSPAN4	
Senescence Pathway	2.72E-01	1.92E-02	NaN	CAT,MAP2K6,PCGF2,PIK3R2,PPM1L	
VEGF Signaling	2.71E-01	2.08E-02	NaN	PIK3R2,VEGFB	
B Cell Activating Factor Signaling	2.69E-01	2.44E-02	NaN	TNFRSF13C	
Primary Immunodeficiency Signaling	2.69E-01	2.44E-02	NaN	TNFRSF13C	
Pyrimidine Ribonucleotides De Novo Biosynthesis	2.69E-01	2.44E-02	NaN	NME2	
tRNA Splicing	2.69E-01	2.44E-02	NaN	PDE2A	
Sumoylation Pathway	2.66E-01	2.06E-02	NaN	CBX4,RAC3	
Gαq Signaling	2.64E-01	1.96E-02	NaN	PIK3R2,PRKCG,RAC3	
SAPK/JNK Signaling	2.61E-01	2.04E-02	NaN	PIK3R2,RAC3	
Tec Kinase Signaling	2.53E-01	1.92E-02	NaN	PIK3R2,PRKCG,RAC3	
G-Protein Coupled Receptor Signaling	2.53E-01	1.87E-02	NaN	ADCY6,PDE2A,PIK3R2,PRKACB,PRKCG	
Retinoic acid Mediated Apoptosis Signaling	2.49E-01	2.27E-02	NaN	RXRA	
Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis	2.49E-01	1.88E-02	NaN	IL18,MAP2K6,PIK3R2,WNT11	
iNOS Signaling	2.49E-01	2.27E-02	NaN	CD14	
IL-23 Signaling Pathway	2.49E-01	2.27E-02	NaN	PIK3R2	
Type I Diabetes Mellitus Signaling	2.45E-01	1.96E-02	NaN	HLA-DOA,MAP2K6	
PPAR Signaling	2.45E-01	1.96E-02	NaN	IL18,RXRA	
IGF-1 Signaling	2.45E-01	1.96E-02	NaN	PIK3R2,PRKACB	
nNOS Signaling in Neurons	2.43E-01	2.22E-02	NaN	PRKCG	
Telomerase Signaling	2.4E-01	1.94E-02	NaN	PIK3R2,PPM1L	
Nicotine Degradation III	2.37E-01	2.17E-02	NaN	B4GAT1	
iCOS-iCOSL Signaling in T Helper Cells	2.37E-01	1.92E-02	NaN	HLA-DOA,PIK3R2	
Gαs Signaling	2.37E-01	1.92E-02	NaN	ADCY6,PRKACB	
T Cell Receptor Signaling	2.37E-01	1.92E-02	NaN	CD8B,PIK3R2	
Stearate Biosynthesis I (Animals)	2.31E-01	2.13E-02	NaN	SLC27A1	
Myc Mediated Apoptosis Signaling	2.25E-01	2.08E-02	NaN	PRKACB	
Pancreatic Adenocarcinoma Signaling	2.25E-01	1.87E-02	NaN	PIK3R2,VEGFB	
Chondroitin Sulfate Biosynthesis	2.2E-01	2.04E-02	NaN	XYLT2	
Amyloid Processing	2.2E-01	2.04E-02	NaN	PRKACB	
Phototransduction Pathway	2.2E-01	2.04E-02	NaN	PRKACB	
Melanoma Signaling	2.15E-01	2E-02	NaN	PIK3R2	
CD27 Signaling in Lymphocytes	2.05E-01	1.92E-02	NaN	MAP2K6	
Lymphotoxin β Receptor Signaling	2.05E-01	1.92E-02	NaN	PIK3R2	
Transcriptional Regulatory Network in Embryonic Stem Cells	2.05E-01	1.92E-02	NaN	H3-3A/H3-3B	
Dermatan Sulfate Biosynthesis	2.05E-01	1.92E-02	NaN	XYLT2	
Cell Cycle Control of Chromosomal Replication	2E-01	1.89E-02	NaN	CDK18	
Glucocorticoid Receptor Signaling	-0E00	9.52E-03	NaN	PIK3R2,PRKACB,SMARCA2	
p53 Signaling	-0E00	1.06E-02	NaN	PIK3R2	
Mitochondrial Dysfunction	-0E00	6.25E-03	NaN	CAT	
Caveolar-mediated Endocytosis Signaling	-0E00	1.41E-02	NaN	ITSN1	
Role of PKR in Interferon Induction and Antiviral Response	-0E00	1.85E-02	NaN	IL18,MAP2K6	
IL-15 Production	-0E00	8.7E-03	NaN	MAP2K6	
CD28 Signaling in T Helper Cells	-0E00	1.79E-02	NaN	HLA-DOA,PIK3R2	
CNTF Signaling	-0E00	1.79E-02	NaN	PIK3R2	
Agrin Interactions at Neuromuscular Junction	-0E00	1.33E-02	NaN	RAC3	
Mitotic Roles of Polo-Like Kinase	-0E00	1.56E-02	NaN	PPM1L	
HGF Signaling	-0E00	1.85E-02	NaN	PIK3R2,PRKCG	
Role of CHK Proteins in Cell Cycle Checkpoint Control	-0E00	1.82E-02	NaN	PPM1L	
FLT3 Signaling in Hematopoietic Progenitor Cells	-0E00	1.27E-02	NaN	PIK3R2	
ATM Signaling	-0E00	1.05E-02	NaN	PPM1L	
Role of NANOG in Mammalian Embryonic Stem Cell Pluripotency	-0E00	1.71E-02	NaN	PIK3R2,WNT11	
Renal Cell Carcinoma Signaling	-0E00	1.32E-02	NaN	PIK3R2	
Endometrial Cancer Signaling	-0E00	1.67E-02	NaN	PIK3R2	
Allograft Rejection Signaling	-0E00	1.75E-02	NaN	HLA-DOA	
Chronic Myeloid Leukemia Signaling	-0E00	9.8E-03	NaN	PIK3R2	
ERK5 Signaling	-0E00	1.41E-02	NaN	MEF2D	
FAK Signaling	-0E00	1.06E-02	NaN	PIK3R2	
EIF2 Signaling	-0E00	9.76E-03	NaN	PIK3R2,RPL3L	
Atherosclerosis Signaling	-0E00	1.79E-02	NaN	COL11A2,IL18	
Regulation of eIF4 and p70S6K Signaling	-0E00	1.35E-02	NaN	PIK3R2,PPM1L	
Estrogen-Dependent Breast Cancer Signaling	-0E00	1.37E-02	NaN	PIK3R2	
Role of Wnt/GSK-3β Signaling in the Pathogenesis of Influenza	-0E00	1.54E-02	NaN	WNT11	
Role of MAPK Signaling in the Pathogenesis of Influenza	-0E00	1.32E-02	NaN	MAP2K6	
OX40 Signaling Pathway	-0E00	1.54E-02	NaN	HLA-DOA	
Cyclins and Cell Cycle Regulation	-0E00	1.28E-02	NaN	PPM1L	
Role of Tissue Factor in Cancer	-0E00	1.77E-02	NaN	LIMK1,PIK3R2	
IL-17A Signaling in Airway Cells	-0E00	1.64E-02	NaN	PIK3R2	
Role of JAK1 and JAK3 in γc Cytokine Signaling	-0E00	1.47E-02	NaN	PIK3R2	
Actin Nucleation by ARP-WASP Complex	-0E00	1.49E-02	NaN	RAC3	
Paxillin Signaling	-0E00	9.52E-03	NaN	PIK3R2	
RhoGDI Signaling	-0E00	1.73E-02	NaN	ARHGAP4,LIMK1,RAC3	
Sertoli Cell-Sertoli Cell Junction Signaling	-0E00	1.12E-02	NaN	PRKACB,TUBB3	
Mouse Embryonic Stem Cell Pluripotency	-0E00	9.9E-03	NaN	PIK3R2	
ErbB2-ErbB3 Signaling	-0E00	1.56E-02	NaN	PIK3R2	
Heparan Sulfate Biosynthesis	-0E00	1.45E-02	NaN	XYLT2	
Phospholipases	-0E00	1.72E-02	NaN	PLCD3	
Nicotine Degradation II	-0E00	1.82E-02	NaN	B4GAT1	
Gαi Signaling	-0E00	1.63E-02	NaN	ADCY6,PRKACB	
PEDF Signaling	-0E00	1.23E-02	NaN	PIK3R2	
Remodeling of Epithelial Adherens Junctions	-0E00	1.56E-02	NaN	TUBB3	
Adipogenesis pathway	-0E00	7.69E-03	NaN	KLF5	
HIPPO signaling	-0E00	1.2E-02	NaN	PPM1L	
Wnt/Ca+ pathway	-0E00	1.61E-02	NaN	PLCD3	
EGF Signaling	-0E00	1.82E-02	NaN	PIK3R2	
Protein Ubiquitination Pathway	-0E00	3.82E-03	NaN	DNAJC22	
IL-2 Signaling	-0E00	1.64E-02	NaN	PIK3R2	
JAK/Stat Signaling	-0E00	1.25E-02	NaN	PIK3R2	
Wnt/β-catenin Signaling	-0E00	1.79E-02	NaN	NLK,PPM1L,WNT11	
Glutamate Receptor Signaling	-0E00	1.79E-02	NaN	SLC17A7	
Apoptosis Signaling	-0E00	1.02E-02	NaN	LMNA	
BMP signaling pathway	-0E00	1.23E-02	NaN	PRKACB	
Cancer Drug Resistance By Drug Efflux	-0E00	1.72E-02	NaN	PIK3R2	
Osteoarthritis Pathway	-0E00	9.9E-03	NaN	GLIS2,VEGFB	
IL-7 Signaling Pathway	-0E00	1.3E-02	NaN	PIK3R2	
Sirtuin Signaling Pathway	-0E00	3.73E-03	NaN	H3-3A/H3-3B	
Iron homeostasis signaling pathway	-0E00	1.54E-02	NaN	FXN,SLC46A1	
NER Pathway	-0E00	1E-02	NaN	H3-3A/H3-3B	
SPINK1 General Cancer Pathway	-0E00	1.79E-02	NaN	PIK3R2	
Inhibition of ARE-Mediated mRNA Degradation Pathway	-0E00	1.72E-02	NaN	PPM1L,PRKACB	
GM-CSF Signaling	-0E00	1.43E-02	NaN	PIK3R2	
