Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Induction of Apoptosis by HIV1	1.41E00	8.33E-02	NaN	BCL2,CXCR4,DAXX,Naip1 (includes others),TNF	
Endometrial Cancer Signaling	1.41E00	8.33E-02	NaN	AKT3,MYC,PIK3CG,RAP2B,RASD1	
Glucocorticoid Receptor Signaling	1.4E00	5.08E-02	NaN	AKT3,ANXA1,BCL2,IL1R2,IL2,IL6,MAPK11,PIK3CG,RAP2B,RASD1,SGK1,SMAD3,STAT1,TGFBR1,TNF,TSC22D3	
PPAR Signaling	1.39E00	6.86E-02	NaN	IL1A,IL1R2,IL1RAP,PPARG,RAP2B,RASD1,TNF	
CTLA4 Signaling in Cytotoxic T Lymphocytes	1.39E00	7.41E-02	NaN	AKT3,CTLA4,HLA-A,HLA-E,HLA-F,PIK3CG	
IL-2 Signaling	1.38E00	8.2E-02	NaN	AKT3,IL2,PIK3CG,RAP2B,RASD1	
Role of JAK family kinases in IL-6-type Cytokine Signaling	1.38E00	1.2E-01	NaN	IL6,MAPK11,STAT1	
Glutathione-mediated Detoxification	1.38E00	1.2E-01	NaN	GSTM4,GSTM5,HPGDS	
Role of NFAT in Regulation of the Immune Response	1.37E00	5.85E-02	NaN	AKT3,GNG12,HLA-A,ITK,ITPR1,ITPR2,PIK3CG,PLCB4,RAP2B,RASD1	
Telomerase Signaling	1.37E00	6.8E-02	NaN	AKT3,ELK3,IL2,MYC,PIK3CG,RAP2B,RASD1	
iCOS-iCOSL Signaling in T Helper Cells	1.35E00	6.73E-02	NaN	AKT3,HLA-A,IL2,ITK,ITPR1,ITPR2,PIK3CG	
p70S6K Signaling	1.34E00	6.3E-02	NaN	AKT3,PIK3CG,PLCB4,PRKCH,PRKCZ,RAP2B,RASD1,SRC	
Paxillin Signaling	1.33E00	6.67E-02	NaN	ARHGEF6,ITGB5,MAPK11,PIK3CG,RAP2B,RASD1,SRC	
IL-23 Signaling Pathway	1.32E00	9.09E-02	NaN	AKT3,IL12B,PIK3CG,TNF	
Cell Cycle: G1/S Checkpoint Regulation	1.31E00	7.81E-02	NaN	CCND3,CDK6,MAX,MYC,SMAD3	
Gαq Signaling	1.29E00	5.88E-02	NaN	AKT3,GNG12,ITPR1,ITPR2,PIK3CG,PLCB4,PRKCH,PRKCZ,RGS2	
Bile Acid Biosynthesis, Neutral Pathway	1.28E00	1.67E-01	NaN	CYP27A1,CYP8B1	
Glioma Signaling	1.26E00	6.42E-02	NaN	AKT3,CDK6,PIK3CG,PRKCH,PRKCZ,RAP2B,RASD1	
ErbB4 Signaling	1.26E00	7.58E-02	NaN	PIK3CG,PRKCH,PRKCZ,RAP2B,RASD1	
LPS/IL-1 Mediated Inhibition of RXR Function	1.25E00	5.39E-02	NaN	ABCC3,ABCG1,GSTM4,GSTM5,HS3ST1,HS3ST3A1,HS3ST3B1,IL1A,IL1R2,IL1RAP,TNF	
EIF2 Signaling	1.24E00	5.37E-02	NaN	AKT3,ATF5,BCL2,DDIT3,EIF2AK1,EIF2AK2,MYC,PIK3CG,RAP2B,RASD1,TRIB3	
Pregnenolone Biosynthesis	1.22E00	1.54E-01	NaN	CYP26B1,CYP27A1	
Guanine and Guanosine Salvage I	1.21E00	5E-01	NaN	PNP	
Alanine Degradation III	1.21E00	5E-01	NaN	GPT2	
Alanine Biosynthesis II	1.21E00	5E-01	NaN	GPT2	
Adenine and Adenosine Salvage I	1.21E00	5E-01	NaN	PNP	
ErbB Signaling	1.18E00	6.59E-02	NaN	MAPK11,PIK3CG,PRKCH,PRKCZ,RAP2B,RASD1	
ERK/MAPK Signaling	1.18E00	5.41E-02	NaN	DUSP9,ELK3,MYC,PIK3CG,PLA2G5,PPARG,RAP2B,RASD1,SRC,STAT1	
Ovarian Cancer Signaling	1.18E00	5.84E-02	NaN	AKT3,BCL2,FZD5,PIK3CG,PTGS1,RAP2B,RASD1,SRC	
Chondroitin Sulfate Biosynthesis	1.18E00	8.16E-02	NaN	CHSY3,HS3ST1,HS3ST3A1,HS3ST3B1	
Caveolar-mediated Endocytosis Signaling	1.15E00	7.04E-02	NaN	HLA-A,HLA-E,HLA-F,ITGB5,SRC	
ERK5 Signaling	1.15E00	7.04E-02	NaN	MYC,RAP2B,RASD1,SGK1,SRC	
Glioma Invasiveness Signaling	1.15E00	7.04E-02	NaN	ITGB5,PIK3CG,PLAUR,RAP2B,RASD1	
Melanocyte Development and Pigmentation Signaling	1.15E00	6.45E-02	NaN	BCL2,MITF,PIK3CG,RAP2B,RASD1,SRC	
Phospholipase C Signaling	1.15E00	5.04E-02	NaN	ARHGEF6,GNG12,ITK,ITPR1,ITPR2,PLA2G5,PLCB4,PRKCH,PRKCZ,RAP2B,RASD1,SRC	
FAK Signaling	1.13E00	6.38E-02	NaN	AKT3,ARHGEF6,PIK3CG,RAP2B,RASD1,SRC	
UVB-Induced MAPK Signaling	1.13E00	7.84E-02	NaN	MAPK11,PIK3CG,PRKCH,PRKCZ	
Regulation of the Epithelial-Mesenchymal Transition Pathway	1.12E00	5.26E-02	NaN	AKT3,BCL9,EGR1,FGFRL1,FZD5,PIK3CG,RAP2B,RASD1,SMAD3,TGFBR1	
Xenobiotic Metabolism CAR Signaling Pathway	1.11E00	5.42E-02	NaN	ABCC3,GSTM4,GSTM5,HS3ST1,HS3ST3A1,HS3ST3B1,PRKCH,PRKCZ,SRC	
Amyotrophic Lateral Sclerosis Signaling	1.11E00	6.32E-02	NaN	AKT3,ALS2,BCL2,CASP1,Naip1 (includes others),PIK3CG	
IL-17A Signaling in Fibroblasts	1.11E00	9.38E-02	NaN	IL6,MAPK11,NFKBIZ	
Acute Phase Response Signaling	1.1E00	5.39E-02	NaN	AKT3,IL1A,IL1RAP,IL6,MAPK11,PIK3CG,RAP2B,RASD1,TNF	
Inhibition of Angiogenesis by TSP1	1.08E00	9.09E-02	NaN	AKT3,MAPK11,TGFBR1	
Agrin Interactions at Neuromuscular Junction	1.07E00	6.67E-02	NaN	ARHGEF6,RAP2B,RASD1,SRC,UTRN	
Proline Degradation	1.04E00	3.33E-01	NaN	LOC102724788/PRODH	
Ascorbate Recycling (Cytosolic)	1.04E00	3.33E-01	NaN	GLRX	
Tetrahydrobiopterin Biosynthesis I	1.04E00	3.33E-01	NaN	GCH1	
Tetrahydrobiopterin Biosynthesis II	1.04E00	3.33E-01	NaN	GCH1	
Unfolded protein response	1.03E00	7.27E-02	NaN	BCL2,DDIT3,INSIG1,PPARG	
Antiproliferative Role of Somatostatin Receptor 2	1.03E00	6.49E-02	NaN	GNG12,PIK3CG,RAP2B,RASD1,SRC	
VDR/RXR Activation	1.01E00	6.41E-02	NaN	IL12A,IL2,MXD1,PRKCH,PRKCZ	
CNTF Signaling	1.01E00	7.14E-02	NaN	PIK3CG,RAP2B,RASD1,STAT1	
Antioxidant Action of Vitamin C	1E00	5.88E-02	NaN	CSF2RA,GLRX,MAPK11,PLA2G5,PLCB4,TNF	
IGF-1 Signaling	1E00	5.88E-02	NaN	AKT3,IRS2,PIK3CG,PRKCZ,RAP2B,RASD1	
Osteoarthritis Pathway	9.87E-01	4.95E-02	NaN	CASP1,FZD5,IL1R2,IL1RAP,LRP1,NKX3-2,PPARG,SMAD3,TGFBR1,TNF	
Synaptic Long Term Potentiation	9.83E-01	5.51E-02	NaN	ITPR1,ITPR2,PLCB4,PRKCH,PRKCZ,RAP2B,RASD1	
IL-4 Signaling	9.79E-01	6.25E-02	NaN	AKT3,HLA-A,PIK3CG,RAP2B,RASD1	
Aldosterone Signaling in Epithelial Cells	9.71E-01	5.23E-02	NaN	HSPA4L,ITPR1,ITPR2,PIK3CG,PLCB4,PRKCH,PRKCZ,SGK1	
Autophagy	9.71E-01	6.9E-02	NaN	BCL2,CTSC,CTSV,WDFY3	
Cancer Drug Resistance By Drug Efflux	9.71E-01	6.9E-02	NaN	AKT3,PIK3CG,RAP2B,RASD1	
FAT10 Signaling Pathway	9.71E-01	1.11E-01	NaN	TNF,UBA6	
CREB Signaling in Neurons	9.67E-01	4.9E-02	NaN	AKT3,GNG12,ITPR1,ITPR2,PIK3CG,PLCB4,PRKCH,PRKCZ,RAP2B,RASD1	
Antiproliferative Role of TOB in T Cell Signaling	9.67E-01	8.11E-02	NaN	IL2,SMAD3,TGFBR1	
NRF2-mediated Oxidative Stress Response	9.59E-01	5.03E-02	NaN	GSTM4,GSTM5,MAFK,NQO2,PIK3CG,PRKCH,PRKCZ,RAP2B,RASD1	
Sertoli Cell-Sertoli Cell Junction Signaling	9.59E-01	5.03E-02	NaN	AKT3,CLDN7,MAPK11,RAP2B,RASD1,SPTB,SRC,TNF,TUBA8	
PPARα/RXRα Activation	9.39E-01	4.97E-02	NaN	IL1R2,IL1RAP,IL6,ITGB5,PLCB4,RAP2B,RASD1,SMAD3,TGFBR1	
Docosahexaenoic Acid (DHA) Signaling	9.39E-01	7.89E-02	NaN	AKT3,BCL2,PIK3CG	
Triacylglycerol Biosynthesis	9.39E-01	7.89E-02	NaN	AGPAT4,ELOVL2,LPIN1	
PXR/RXR Activation	9.28E-01	6.67E-02	NaN	ABCC3,AKT3,IL6,TNF	
Inflammasome pathway	9.28E-01	1.05E-01	NaN	AIM2,CASP1	
Airway Inflammation in Asthma	9.24E-01	2.5E-01	NaN	TNF	
Pancreatic Adenocarcinoma Signaling	9.24E-01	5.61E-02	NaN	AKT3,BCL2,PIK3CG,SMAD3,STAT1,TGFBR1	
Arsenate Detoxification I (Glutaredoxin)	9.24E-01	2.5E-01	NaN	PNP	
Spermine and Spermidine Degradation I	9.24E-01	2.5E-01	NaN	SAT1	
Glutathione Redox Reactions II	9.24E-01	2.5E-01	NaN	GLRX	
Synaptic Long Term Depression	9.17E-01	4.92E-02	NaN	ITPR1,ITPR2,PLA2G5,PLCB4,PRKCH,PRKCZ,RAP2B,RASD1,RYR2	
IL-17A Signaling in Airway Cells	9.1E-01	6.56E-02	NaN	AKT3,IL6,MAPK11,PIK3CG	
FGF Signaling	9.1E-01	5.95E-02	NaN	AKT3,FGFRL1,ITPR1,MAPK11,PIK3CG	
Protein Kinase A Signaling	8.93E-01	4.28E-02	NaN	AKAP7,DHH,DUSP22,DUSP9,GNG12,ITPR1,ITPR2,PHKA2,PLCB4,PRKCH,PRKCZ,PTPN7,RYR2,SMAD3,SMPDL3A,TGFBR1	
Endoplasmic Reticulum Stress Pathway	8.93E-01	1E-01	NaN	DDIT3,TAOK3	
GPCR-Mediated Nutrient Sensing in Enteroendocrine Cells	8.83E-01	5.45E-02	NaN	GNG12,ITPR1,ITPR2,PLCB4,PRKCH,PRKCZ	
RANK Signaling in Osteoclasts	8.79E-01	5.81E-02	NaN	AKT3,MAPK11,MITF,PIK3CG,SRC	
Regulation of Cellular Mechanics by Calpain Protease	8.73E-01	6.35E-02	NaN	CDK6,RAP2B,RASD1,SRC	
G-Protein Coupled Receptor Signaling	8.73E-01	4.49E-02	NaN	AKT3,DUSP9,FPR2,PIK3CG,PLCB4,PTGER2,RAP2B,RASD1,RGS14,RGS2,SMPDL3A,SRC	
ErbB2-ErbB3 Signaling	8.54E-01	6.25E-02	NaN	MYC,PIK3CG,RAP2B,RASD1	
Pyridoxal 5'-phosphate Salvage Pathway	8.54E-01	6.25E-02	NaN	CDK6,EIF2AK2,PRKCH,SGK1	
Remodeling of Epithelial Adherens Junctions	8.54E-01	6.25E-02	NaN	CLIP1,MAPRE3,SRC,TUBA8	
Regulation of IL-2 Expression in Activated and Anergic T Lymphocytes	8.51E-01	5.68E-02	NaN	IL2,RAP2B,RASD1,SMAD3,TGFBR1	
RAR Activation	8.48E-01	4.74E-02	NaN	ADH1C,AKT3,MAPK11,PIK3CG,PML,PRKCH,PRKCZ,SMAD3,SRC	
Insulin Receptor Signaling	8.48E-01	5.07E-02	NaN	AKT3,IRS2,PIK3CG,PRKCZ,RAP2B,RASD1,SGK1	
Oncostatin M Signaling	8.45E-01	7.14E-02	NaN	RAP2B,RASD1,STAT1	
Axonal Guidance Signaling	8.39E-01	4.08E-02	NaN	ADAM23,AKT3,ARHGEF6,CXCR4,ECE2,FZD5,GNG12,LNPEP,NRP1,PIK3CG,PLCB4,PLXNB2,PRKCH,PRKCZ,RAP2B,RASD1,SEMA4D,SEMA4F,TUBA8	
Adenine and Adenosine Salvage III	8.33E-01	2E-01	NaN	PNP	
Purine Ribonucleosides Degradation to Ribose-1-phosphate	8.33E-01	2E-01	NaN	PNP	
Galactose Degradation I (Leloir Pathway)	8.33E-01	2E-01	NaN	GALM	
Endocannabinoid Developing Neuron Pathway	8.33E-01	5.26E-02	NaN	AKT3,MAPK11,PIK3CG,RAP2B,RASD1,SRC	
Type II Diabetes Mellitus Signaling	8.27E-01	5E-02	NaN	AKT3,IRS2,PIK3CG,PPARG,PRKCH,PRKCZ,TNF	
IL-17A Signaling in Gastric Cells	8.24E-01	9.09E-02	NaN	MAPK11,TNF	
Prostate Cancer Signaling	8.07E-01	5.49E-02	NaN	AKT3,BCL2,PIK3CG,RAP2B,RASD1	
iNOS Signaling	8.01E-01	6.82E-02	NaN	IRF1,MAPK11,STAT1	
Xenobiotic Metabolism PXR Signaling Pathway	7.96E-01	4.73E-02	NaN	ABCC3,GSTM4,GSTM5,HS3ST1,HS3ST3A1,HS3ST3B1,PRKCH,PRKCZ	
Vitamin-C Transport	7.93E-01	8.7E-02	NaN	GJB2,GLRX	
Apelin Cardiac Fibroblast Signaling Pathway	7.93E-01	8.7E-02	NaN	AKT3,IL6	
Growth Hormone Signaling	7.88E-01	5.88E-02	NaN	PIK3CG,PRKCH,PRKCZ,STAT1	
Th17 Activation Pathway	7.88E-01	5.88E-02	NaN	IL12A,IL12B,IL6,PTGER2	
Factors Promoting Cardiogenesis in Vertebrates	7.83E-01	4.86E-02	NaN	FZD5,LRP1,MYC,PLCB4,PRKCH,PRKCZ,TGFBR1	
PAK Signaling	7.8E-01	5.38E-02	NaN	ARHGEF6,PIK3CG,RAP2B,RASD1,TNF	
nNOS Signaling in Neurons	7.8E-01	6.67E-02	NaN	PRKCH,PRKCZ,RASD1	
p53 Signaling	7.67E-01	5.32E-02	NaN	AKT3,BCL2,PIK3CG,PLAGL1,PML	
Gluconeogenesis I	7.64E-01	8.33E-02	NaN	ENO1,ENO4	
Trehalose Degradation II (Trehalase)	7.59E-01	1.67E-01	NaN	HK1	
Chondroitin and Dermatan Biosynthesis	7.59E-01	1.67E-01	NaN	CHSY3	
Tryptophan Degradation to 2-amino-3-carboxymuconate Semialdehyde	7.59E-01	1.67E-01	NaN	HAAO	
Huntington's Disease Signaling	7.57E-01	4.41E-02	NaN	AKT3,CASP1,GNG12,HIP1,ITPR1,PIK3CG,PLCB4,PRKCH,PRKCZ,SGK1	
Stearate Biosynthesis I (Animals)	7.42E-01	6.38E-02	NaN	ELOVL2,SRD5A3,ZADH2	
Gαi Signaling	7.26E-01	4.88E-02	NaN	FPR2,GNG12,RAP2B,RASD1,RGS14,SRC	
Apoptosis Signaling	7.17E-01	5.1E-02	NaN	BCL2,Naip1 (includes others),RAP2B,RASD1,TNF	
Airway Pathology in Chronic Obstructive Pulmonary Disease	7.01E-01	1.43E-01	NaN	TNF	
Phosphatidylcholine Biosynthesis I	7.01E-01	1.43E-01	NaN	CHPT1	
Angiopoietin Signaling	6.97E-01	5.41E-02	NaN	AKT3,PIK3CG,RAP2B,RASD1	
Reelin Signaling in Neurons	6.95E-01	4.76E-02	NaN	AKT3,ARHGEF6,NDEL1,PIK3CG,SRC,YES1	
ILK Signaling	6.93E-01	4.44E-02	NaN	AKT3,ARHGEF6,FERMT2,IRS2,ITGB5,MYC,PIK3CG,TNF	
eNOS Signaling	6.93E-01	4.58E-02	NaN	AKT3,FLT4,ITPR1,ITPR2,PIK3CG,PRKCH,PRKCZ	
Clathrin-mediated Endocytosis Signaling	6.84E-01	4.42E-02	NaN	APOD,HIP1,HIP1R,ITGB5,LYZ,MYO1E,PIK3CG,SRC	
Gα12/13 Signaling	6.84E-01	4.72E-02	NaN	AKT3,PIK3CG,RAP2B,RASD1,SRC,TEC	
Renal Cell Carcinoma Signaling	6.7E-01	5.26E-02	NaN	AKT3,PIK3CG,RAP2B,RASD1	
Lymphotoxin β Receptor Signaling	6.54E-01	5.77E-02	NaN	AKT3,PIK3CG,TNFSF14	
Role of PI3K/AKT Signaling in the Pathogenesis of Influenza	6.54E-01	5.77E-02	NaN	AKT3,IFNB1,PIK3CG	
Sucrose Degradation V (Mammalian)	6.5E-01	1.25E-01	NaN	GALM	
Gαs Signaling	6.46E-01	4.81E-02	NaN	GNG12,PTGER2,RGS2,RYR2,SRC	
Human Embryonic Stem Cell Pluripotency	6.35E-01	4.55E-02	NaN	AKT3,FGFRL1,FZD5,PIK3CG,SMAD3,TGFBR1	
Neuroprotective Role of THOP1 in Alzheimer's Disease	6.25E-01	4.72E-02	NaN	ECE2,HLA-A,HLA-E,HLA-F,ST14	
SPINK1 Pancreatic Cancer Pathway	6.23E-01	5.56E-02	NaN	CPQ,SMAD3,TGFBR1	
TR/RXR Activation	6.18E-01	5E-02	NaN	AKT3,ENO1,PFKP,PIK3CG	
TNFR2 Signaling	6.18E-01	6.67E-02	NaN	Naip1 (includes others),TNF	
Germ Cell-Sertoli Cell Junction Signaling	6.13E-01	4.32E-02	NaN	PIK3CG,RAP2B,RASD1,SRC,TGFBR1,TNF,TUBA8	
cAMP-mediated signaling	6.13E-01	4.13E-02	NaN	AKAP7,DUSP9,FPR2,PKIB,PTGER2,RGS14,RGS2,SMPDL3A,SRC	
Citrulline Biosynthesis	6.04E-01	1.11E-01	NaN	LOC102724788/PRODH	
GDP-glucose Biosynthesis	6.04E-01	1.11E-01	NaN	HK1	
Folate Transformations I	6.04E-01	1.11E-01	NaN	MTHFR	
G Protein Signaling Mediated by Tubby	5.97E-01	6.45E-02	NaN	GNG12,PLCB4	
HIF1α Signaling	5.93E-01	4.59E-02	NaN	AKT3,MAPK11,PIK3CG,RAP2B,RASD1	
Rac Signaling	5.83E-01	4.55E-02	NaN	CYBB,PIK3CG,PRKCZ,RAP2B,RASD1	
Role of JAK2 in Hormone-like Cytokine Signaling	5.78E-01	6.25E-02	NaN	IRS2,STAT1	
Agranulocyte Adhesion and Diapedesis	5.72E-01	4.19E-02	NaN	CLDN7,Cxcl11,CXCL13,CXCR4,IL1A,SELPLG,TNF	
Glucose and Glucose-1-phosphate Degradation	5.65E-01	1E-01	NaN	HK1	
NAD biosynthesis II (from tryptophan)	5.65E-01	1E-01	NaN	HAAO	
Phospholipases	5.65E-01	5.17E-02	NaN	LIPG,PLA2G5,PLCB4	
NGF Signaling	5.64E-01	4.46E-02	NaN	AKT3,PIK3CG,PRKCZ,RAP2B,RASD1	
Wnt/β-catenin Signaling	5.64E-01	4.17E-02	NaN	AKT3,BCL9,FZD5,LRP1,MYC,SRC,TGFBR1	
Role of Lipids/Lipid Rafts in the Pathogenesis of Influenza	5.3E-01	9.09E-02	NaN	IFNB1	
Oleate Biosynthesis II (Animals)	5.3E-01	9.09E-02	NaN	Scd4	
GP6 Signaling Pathway	5.27E-01	4.31E-02	NaN	AKT3,ITPR1,PIK3CG,PRKCH,PRKCZ	
Inhibition of ARE-Mediated mRNA Degradation Pathway	5.27E-01	4.31E-02	NaN	AKT3,MAPK11,TNF,TNFSF14,TNFSF8	
PI3K/AKT Signaling	5.26E-01	4.05E-02	NaN	AKT3,BCL2,IFNLR1,IL1R2,PIK3CG,RAP2B,RASD1	
Coagulation System	5.24E-01	5.71E-02	NaN	PLAT,PLAUR	
Role of NANOG in Mammalian Embryonic Stem Cell Pluripotency	5.19E-01	4.27E-02	NaN	AKT3,FZD5,PIK3CG,RAP2B,RASD1	
IL-1 Signaling	5.19E-01	4.49E-02	NaN	GNG12,IL1A,IL1RAP,MAPK11	
Heparan Sulfate Biosynthesis (Late Stages)	5.14E-01	4.84E-02	NaN	HS3ST1,HS3ST3A1,HS3ST3B1	
B Cell Receptor Signaling	5.11E-01	4E-02	NaN	AKT3,EGR1,MAPK11,PAG1,PIK3CG,RAP2B,RASD1	
CCR5 Signaling in Macrophages	5.09E-01	4.44E-02	NaN	GNG12,MAPK11,PRKCH,PRKCZ	
Notch Signaling	5.07E-01	5.56E-02	NaN	DLL1,HES7	
Regulation of eIF4 and p70S6K Signaling	4.99E-01	4.05E-02	NaN	AKT3,MAPK11,PIK3CG,PRKCZ,RAP2B,RASD1	
Leukotriene Biosynthesis	4.99E-01	8.33E-02	NaN	LTC4S	
3-phosphoinositide Degradation	4.99E-01	4.05E-02	NaN	DUSP28,MTM1,PALD1,PPM1H,PPM1K,PTPN7	
Salvage Pathways of Pyrimidine Ribonucleotides	4.99E-01	4.4E-02	NaN	CDK6,EIF2AK2,PRKCH,SGK1	
UDP-N-acetyl-D-galactosamine Biosynthesis II	4.99E-01	8.33E-02	NaN	HK1	
Ephrin Receptor Signaling	4.98E-01	3.95E-02	NaN	AKT3,CXCR4,GNG12,PIK3CG,RAP2B,RASD1,SRC	
CD40 Signaling	4.91E-01	4.69E-02	NaN	MAPK11,PIK3CG,PTGS1	
D-myo-inositol-5-phosphate Metabolism	4.91E-01	4.03E-02	NaN	DUSP28,PALD1,PLCB4,PPM1H,PPM1K,PTPN7	
Androgen Biosynthesis	4.71E-01	7.69E-02	NaN	SRD5A3	
Mechanisms of Viral Exit from Host Cells	4.61E-01	5.13E-02	NaN	PRKCH,PRKCZ	
Choline Biosynthesis III	4.45E-01	7.14E-02	NaN	CHPT1	
Melatonin Signaling	4.37E-01	4.35E-02	NaN	PLCB4,PRKCH,PRKCZ	
Heparan Sulfate Biosynthesis	4.37E-01	4.35E-02	NaN	HS3ST1,HS3ST3A1,HS3ST3B1	
SAPK/JNK Signaling	4.35E-01	4.08E-02	NaN	DAXX,PIK3CG,RAP2B,RASD1	
3-phosphoinositide Biosynthesis	4.28E-01	3.8E-02	NaN	DUSP28,PALD1,PIK3CG,PPM1H,PPM1K,PTPN7	
GPCR-Mediated Integration of Enteroendocrine Signaling Exemplified by an L Cell	4.26E-01	4.29E-02	NaN	ITPR1,ITPR2,PLCB4	
Superpathway of Citrulline Metabolism	4.21E-01	6.67E-02	NaN	LOC102724788/PRODH	
Histidine Degradation VI	4.21E-01	6.67E-02	NaN	CYP26B1	
Superpathway of Inositol Phosphate Compounds	4.16E-01	3.68E-02	NaN	DUSP28,PALD1,PIK3CG,PLCB4,PPM1H,PPM1K,PTPN7	
Apelin Pancreas Signaling Pathway	4.08E-01	4.65E-02	NaN	DDIT3,PIK3CG	
Tight Junction Signaling	4.03E-01	3.7E-02	NaN	AKT3,CASK,CLDN7,PRKCZ,TGFBR1,TNF	
Androgen Signaling	4.02E-01	3.79E-02	NaN	GNG12,PRKCH,PRKCZ,SMAD3,SRC	
Cardiac β-adrenergic Signaling	4.02E-01	3.79E-02	NaN	AKAP7,GNG12,PKIB,RYR2,SMPDL3A	
Parkinson's Signaling	3.99E-01	6.25E-02	NaN	MAPK11	
Leptin Signaling in Obesity	3.98E-01	4.11E-02	NaN	AKT3,PIK3CG,PLCB4	
D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis	3.88E-01	3.73E-02	NaN	DUSP28,PALD1,PPM1H,PPM1K,PTPN7	
D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis	3.88E-01	3.73E-02	NaN	DUSP28,PALD1,PPM1H,PPM1K,PTPN7	
Role of Oct4 in Mammalian Embryonic Stem Cell Pluripotency	3.84E-01	4.44E-02	NaN	FOXA1,TDRD7	
PFKFB4 Signaling Pathway	3.84E-01	4.44E-02	NaN	HK1,XDH	
FcγRIIB Signaling in B Lymphocytes	3.8E-01	4E-02	NaN	PIK3CG,RAP2B,RASD1	
CDK5 Signaling	3.8E-01	3.81E-02	NaN	EGR1,MAPK11,RAP2B,RASD1	
Ubiquinol-10 Biosynthesis (Eukaryotic)	3.8E-01	5.88E-02	NaN	CYP26B1	
Dermatan Sulfate Degradation (Metazoa)	3.8E-01	5.88E-02	NaN	FGFRL1	
D-myo-inositol (1,4,5)-trisphosphate Degradation	3.8E-01	5.88E-02	NaN	INPP1	
Neurotrophin/TRK Signaling	3.8E-01	4E-02	NaN	PIK3CG,RAP2B,RASD1	
Estrogen Receptor Signaling	3.76E-01	3.43E-02	NaN	AKT3,BCL2,FOXA1,MYC,PIK3CG,PLCB4,PRKCH,PRKCZ,RAP2B,RASD1,SRC	
mTOR Signaling	3.72E-01	3.54E-02	NaN	AKT3,ARHGAP8/PRR5-ARHGAP8,PIK3CG,PRKCH,PRKCZ,RAP2B,RASD1	
Hereditary Breast Cancer Signaling	3.7E-01	3.65E-02	NaN	AKT3,CDK6,PIK3CG,RAP2B,RASD1	
Cardiac Hypertrophy Signaling	3.62E-01	3.46E-02	NaN	GNG12,IL6,MAPK11,PIK3CG,PLCB4,RAP2B,RASD1,TGFBR1	
Protein Ubiquitination Pathway	3.62E-01	3.44E-02	NaN	HLA-A,HLA-E,HLA-F,HSPA4L,PSMB10,UBE2L6,USP18,USP25,USP27X	
Methylglyoxal Degradation III	3.61E-01	5.56E-02	NaN	ZADH2	
TNFR1 Signaling	3.52E-01	4.17E-02	NaN	Naip1 (includes others),TNF	
Gustation Pathway	3.51E-01	3.57E-02	NaN	ITPR1,ITPR2,P2RX4,P2RY10,SMPDL3A	
Corticotropin Releasing Hormone Signaling	3.45E-01	3.55E-02	NaN	ITPR1,ITPR2,MAPK11,PRKCH,PRKCZ	
GADD45 Signaling	3.44E-01	5.26E-02	NaN	CCND3	
Putrescine Degradation III	3.44E-01	5.26E-02	NaN	SAT1	
DNA damage-induced 14-3-3σ Signaling	3.44E-01	5.26E-02	NaN	AKT3	
Apelin Muscle Signaling Pathway	3.44E-01	5.26E-02	NaN	AKT3	
Integrin Signaling	3.42E-01	3.43E-02	NaN	AKT3,ITGB5,PIK3CG,RAP2B,RASD1,SRC,TSPAN2	
Amyloid Processing	3.41E-01	4.08E-02	NaN	AKT3,MAPK11	
Sphingosine-1-phosphate Signaling	3.38E-01	3.6E-02	NaN	AKT3,CASP1,PIK3CG,PLCB4	
Signaling by Rho Family GTPases	3.38E-01	3.39E-02	NaN	ARHGEF6,CDC42EP3,CLIP1,CYBB,GNG12,PIK3CG,PRKCZ,SEPTIN10	
Synaptogenesis Signaling Pathway	3.34E-01	3.33E-02	NaN	AKT3,ITPR1,LRP1,PIK3CG,RAP2B,RASD1,SRC,STXBP1,SYT17,YES1	
BMP signaling pathway	3.31E-01	3.7E-02	NaN	MAPK11,RAP2B,RASD1	
CDP-diacylglycerol Biosynthesis I	3.28E-01	5E-02	NaN	AGPAT4	
Phagosome Formation	3.26E-01	3.54E-02	NaN	PIK3CG,PLCB4,PRKCH,PRKCZ	
Nur77 Signaling in T Lymphocytes	3.21E-01	3.92E-02	NaN	BCL2,HLA-A	
Role of IL-17A in Arthritis	3.21E-01	3.92E-02	NaN	MAPK11,PIK3CG	
Relaxin Signaling	3.17E-01	3.42E-02	NaN	AKT3,GNG12,PIK3CG,PRKCZ,SMPDL3A	
AMPK Signaling	3.13E-01	3.33E-02	NaN	AKT3,IRS2,MAPK11,PFKP,PIK3CG,PPM1H,PPM1K	
PKCθ Signaling in T Lymphocytes	3.06E-01	3.38E-02	NaN	HLA-A,IL2,PIK3CG,RAP2B,RASD1	
Tumoricidal Function of Hepatic Natural Killer Cells	2.98E-01	4.55E-02	NaN	SERPINB9	
NAD Salvage Pathway II	2.98E-01	4.55E-02	NaN	NT5C3A	
Phosphatidylglycerol Biosynthesis II (Non-plastidic)	2.98E-01	4.55E-02	NaN	AGPAT4	
Superpathway of D-myo-inositol (1,4,5)-trisphosphate Metabolism	2.85E-01	4.35E-02	NaN	INPP1	
