© 2000-2020 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Type II Diabetes Mellitus Signaling	2.81E-01	1.43E-02	NaN	CD36,PRKD3	
Axonal Guidance Signaling	2.79E-01	1.29E-02	NaN	KIF7,MAG,PLCE1,PRKD3,RRAS2,SEMA4B	
Necroptosis Signaling Pathway	2.75E-01	1.41E-02	NaN	DAPK1,SLC25A13	
T Cell Exhaustion Signaling Pathway	2.72E-01	1.4E-02	NaN	RRAS2,TBX21	
IL-17A Signaling in Airway Cells	2.71E-01	1.64E-02	NaN	MAPK13	
Huntington's Disease Signaling	2.68E-01	1.32E-02	NaN	CASP3,PRKD3,TGM2	
Wnt/Ca+ pathway	2.67E-01	1.61E-02	NaN	PLCE1	
CD40 Signaling	2.57E-01	1.56E-02	NaN	MAPK13	
Regulation of eIF4 and p70S6K Signaling	2.57E-01	1.35E-02	NaN	MAPK13,RRAS2	
Cell Cycle: G1/S Checkpoint Regulation	2.57E-01	1.56E-02	NaN	CCND1	
IL-10 Signaling	2.49E-01	1.52E-02	NaN	MAPK13	
Actin Nucleation by ARP-WASP Complex	2.45E-01	1.49E-02	NaN	RRAS2	
Aldosterone Signaling in Epithelial Cells	2.43E-01	1.31E-02	NaN	PLCE1,PRKD3	
Growth Hormone Signaling	2.4E-01	1.47E-02	NaN	PRKD3	
TREM1 Signaling	2.37E-01	1.45E-02	NaN	Tlr11	
Basal Cell Carcinoma Signaling	2.37E-01	1.45E-02	NaN	KIF7	
GPCR-Mediated Integration of Enteroendocrine Signaling Exemplified by an L Cell	2.33E-01	1.43E-02	NaN	PLCE1	
Caveolar-mediated Endocytosis Signaling	2.29E-01	1.41E-02	NaN	ITGAE	
Small Cell Lung Cancer Signaling	2.29E-01	1.41E-02	NaN	CCND1	
Toll-like Receptor Signaling	2.25E-01	1.39E-02	NaN	MAPK13	
Communication between Innate and Adaptive Immune Cells	2.18E-01	1.35E-02	NaN	Tlr11	
Hypoxia Signaling in the Cardiovascular System	2.18E-01	1.35E-02	NaN	NQO1	
FcγRIIB Signaling in B Lymphocytes	2.14E-01	1.33E-02	NaN	RRAS2	
Neurotrophin/TRK Signaling	2.14E-01	1.33E-02	NaN	RRAS2	
Renal Cell Carcinoma Signaling	2.11E-01	1.32E-02	NaN	RRAS2	
Apelin Adipocyte Signaling Pathway	2.08E-01	1.3E-02	NaN	MAPK13	
Cyclins and Cell Cycle Regulation	2.04E-01	1.28E-02	NaN	CCND1	
TR/RXR Activation	1.98E-01	1.25E-02	NaN	PDE3B	
JAK/Stat Signaling	1.98E-01	1.25E-02	NaN	RRAS2	
Glucocorticoid Receptor Signaling	-0E00	9.52E-03	NaN	GTF2H2,MAPK13,RRAS2	
Natural Killer Cell Signaling	-0E00	1.19E-02	NaN	MAPK13,RRAS2	
Actin Cytoskeleton Signaling	-0E00	9.57E-03	NaN	F2R,RRAS2	
LPS/IL-1 Mediated Inhibition of RXR Function	-0E00	9.8E-03	NaN	CHST3,NDST1	
Acute Phase Response Signaling	-0E00	1.2E-02	NaN	MAPK13,RRAS2	
Hepatic Cholestasis	-0E00	1.15E-02	NaN	PRKD3,TNFSF15	
LXR/RXR Activation	-0E00	9.09E-03	NaN	CD36	
Mitochondrial Dysfunction	-0E00	6.25E-03	NaN	CASP3	
Ceramide Signaling	-0E00	1.16E-02	NaN	RRAS2	
Tight Junction Signaling	-0E00	6.17E-03	NaN	JAM2	
Clathrin-mediated Endocytosis Signaling	-0E00	1.1E-02	NaN	CTTN,F2R	
Role of NFAT in Regulation of the Immune Response	-0E00	1.17E-02	NaN	MEF2C,RRAS2	
CXCR4 Signaling	-0E00	1.23E-02	NaN	PRKD3,RRAS2	
Germ Cell-Sertoli Cell Junction Signaling	-0E00	6.17E-03	NaN	RRAS2	
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	-0E00	1.14E-02	NaN	MAPK13,PRKD3	
Systemic Lupus Erythematosus Signaling	-0E00	5.56E-03	NaN	RRAS2	
Cdc42 Signaling	-0E00	7.41E-03	NaN	MAPK13	
ILK Signaling	-0E00	1.11E-02	NaN	CASP3,CCND1	
FAK Signaling	-0E00	1.06E-02	NaN	RRAS2	
EIF2 Signaling	-0E00	9.76E-03	NaN	CCND1,RRAS2	
AMPK Signaling	-0E00	9.52E-03	NaN	CCND1,MAPK13	
Rac Signaling	-0E00	9.09E-03	NaN	RRAS2	
RhoA Signaling	-0E00	8.47E-03	NaN	LPAR3	
Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis	-0E00	4.69E-03	NaN	SMAD9	
Altered T Cell and B Cell Signaling in Rheumatoid Arthritis	-0E00	1.22E-02	NaN	Tlr11	
Atherosclerosis Signaling	-0E00	8.93E-03	NaN	CD36	
IL-1 Signaling	-0E00	1.12E-02	NaN	MAPK13	
RANK Signaling in Osteoclasts	-0E00	1.16E-02	NaN	MAPK13	
Regulation of IL-2 Expression in Activated and Anergic T Lymphocytes	-0E00	1.14E-02	NaN	RRAS2	
PKCθ Signaling in T Lymphocytes	-0E00	6.76E-03	NaN	RRAS2	
NGF Signaling	-0E00	8.93E-03	NaN	RRAS2	
Signaling by Rho Family GTPases	-0E00	8.47E-03	NaN	ARHGEF9,CDH15	
RhoGDI Signaling	-0E00	1.16E-02	NaN	ARHGEF9,CDH15	
Epithelial Adherens Junction Signaling	-0E00	6.9E-03	NaN	RRAS2	
Regulation of the Epithelial-Mesenchymal Transition Pathway	-0E00	5.26E-03	NaN	RRAS2	
Tec Kinase Signaling	-0E00	6.41E-03	NaN	PRKD3	
HIPPO signaling	-0E00	1.2E-02	NaN	DLG3	
Estrogen Receptor Signaling	-0E00	1.25E-02	NaN	CCND1,PLCE1,PRKD3,RRAS2	
ERK/MAPK Signaling	-0E00	5.41E-03	NaN	RRAS2	
Protein Ubiquitination Pathway	-0E00	3.82E-03	NaN	USP35	
FGF Signaling	-0E00	1.19E-02	NaN	MAPK13	
Wnt/β-catenin Signaling	-0E00	1.19E-02	NaN	CCND1,MAP4K1	
PPAR Signaling	-0E00	9.8E-03	NaN	RRAS2	
IGF-1 Signaling	-0E00	9.8E-03	NaN	RRAS2	
NF-κB Signaling	-0E00	5.85E-03	NaN	RRAS2	
VEGF Signaling	-0E00	1.04E-02	NaN	RRAS2	
PDGF Signaling	-0E00	1.16E-02	NaN	RRAS2	
Phagosome Maturation	-0E00	7.14E-03	NaN	VPS37A	
PD-1, PD-L1 cancer immunotherapy pathway	-0E00	1.08E-02	NaN	IL2RG	
Sirtuin Signaling Pathway	-0E00	3.73E-03	NaN	NQO1	
Iron homeostasis signaling pathway	-0E00	7.69E-03	NaN	LYRM4	
NER Pathway	-0E00	1E-02	NaN	GTF2H2	
HOTAIR Regulatory Pathway	-0E00	6.49E-03	NaN	JAM2	
