Geneid	Crtl_0h_R2	Crtl_0h_R3	Ctrl_CpG_2h_R2	Ctrl_CpG_2h_R3	Ctrl_CpG_6h_R2	Ctrl_CpG_6h_R3	SMRT_0h_R2	SMRT_0h_R3	SMRT_CpG_2h_R2	SMRT_CpG_2h_R3	SMRT_CpG_6h_R2	SMRT_CpG_6h_R3	Emp_CpG_6h_R1	Emp_CpG_6h_R2	Emp_Uns_R1	Emp_Uns_R2	NCoR1_CpG_6h_R1	NCoR1_CpG_6h_R2	NCoR1_Uns_R1	NCoR1_Uns_R2
Ptprr	0	0	0	0	0	0	14	17	5	3	5	4	0	0	1	6	2	0	30	18
4933416C03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ptprb	0	1	0	1	3	1	5	7	4	5	11	12	4	5	11	14	13	6	23	13
Kcnmb4	7	2	0	2	1	0	1	1	0	1	0	0	1	0	13	11	4	8	59	26
Kcnmb4os1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Kcnmb4os2	11	10	7	7	3	3	1	4	4	0	1	2	8	2	15	23	19	9	82	80
Cnot2	1535	1658	1121	1307	1357	1176	1330	1633	1409	1465	1534	1217	1570	1939	3184	1687	2195	2004	4336	2234
1700030O20Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930579P08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Myrfl	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0
Rab3ip	407	366	289	285	257	249	350	419	318	300	298	289	323	379	667	406	676	542	1229	701
4933412E12Rik	61	57	31	32	61	57	75	112	44	56	108	93	50	75	137	68	71	60	122	57
D630029K05Rik	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
Best3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lrrc10	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0
Cct2	10908	10748	9241	10901	9953	9043	7114	8407	8793	8768	9756	7160	11664	16091	15357	12010	15122	12532	24444	16471
Frs2	545	652	370	536	483	430	566	684	460	550	508	422	507	539	833	405	792	696	1598	662
Yeats4	890	875	482	536	482	509	863	983	652	717	648	603	698	822	1844	1166	1253	1096	2591	1527
9530003J23Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Lyz2	1812	1565	1440	1568	46	98	5213	6751	5563	6891	222	259	55	76	2600	2589	4963	4560	22733	14946
Lyz1	61	34	40	23	9	6	98	153	59	86	5	11	7	8	55	44	38	33	190	109
Cpsf6	2494	2868	1644	1981	2501	2236	2310	2557	2055	2027	2466	1846	2957	3968	5333	3223	3875	3394	6180	3425
Cpm	817	921	564	629	104	105	137	222	96	120	91	72	113	127	606	366	85	71	272	162
Mdm2	1536	1794	1322	1555	1179	1040	1547	1898	2014	2171	1404	1191	1092	1340	2191	1197	4918	3912	3404	1884
Slc35e3	275	382	217	235	161	130	276	337	334	290	311	228	211	220	569	248	550	391	823	435
Nup107	1632	1849	960	1344	1275	1228	1435	1676	1249	1170	1481	1180	1845	1914	2965	1580	1966	1463	3826	2454
Rap1b	6058	6023	8419	10436	11091	7543	5856	6711	14014	14801	14053	9872	11506	15295	9794	7612	30947	28099	18996	11439
4933411E08Rik	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0
Mdm1	236	334	147	196	259	250	278	316	276	247	342	271	290	166	575	209	377	214	746	291
Il22	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	32	48	0	0
Iltifb	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Ifng	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmevpg1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dyrk2	232	229	705	608	402	501	92	121	715	1002	291	319	260	350	150	90	2500	1650	695	449
Gm38403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700064J06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cand1	4636	4955	5497	6454	4700	4853	3923	4755	8682	9592	6137	5165	5877	8705	5873	4468	10154	8829	10217	5719
4930477N07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700025F24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Grip1	0	0	0	1	1	1	1	1	0	2	0	1	0	0	1	0	1	0	3	0
Grip1os2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Grip1os1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Helb	445	528	209	275	287	325	428	529	229	242	295	274	474	486	1027	643	583	452	1321	716
Irak3	1	1	0	0	0	1	2	0	0	0	1	1	0	4	0	0	0	1	0	0
Tmbim4	456	398	341	356	220	210	428	589	448	525	358	263	432	596	991	855	708	482	1497	1021
Llph	1038	1006	911	978	1095	985	823	1004	1036	1056	1554	1041	1142	1656	1330	1612	1483	1265	2337	2136
Hmga2	117	116	73	93	20	20	199	245	188	170	82	42	17	49	183	151	47	41	315	193
9230105E05Rik	7	24	5	21	4	3	26	32	12	18	12	3	9	3	27	1	19	5	82	13
Mir763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4921513I03Rik	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Msrb3	898	973	751	972	286	389	172	226	228	248	80	92	416	508	1769	935	120	64	409	260
Gm15910	4	1	0	3	4	1	0	1	2	3	1	2	1	0	5	0	0	0	2	0
Lemd3	618	731	471	928	545	501	522	652	611	890	398	370	534	632	1101	624	743	562	1405	859
Wif1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Tbc1d30	0	0	5	2	2	3	0	0	1	0	0	1	4	3	2	1	1	2	1	0
Gns	5069	5225	2428	3452	2384	2700	3896	5193	2495	3037	3763	3036	3434	4636	9141	6555	7398	5709	13371	7896
Rassf3	784	883	219	340	273	292	966	1138	281	288	244	155	922	1022	2315	1448	2024	1538	3199	1795
Tbk1	1264	1556	785	1339	1330	1111	1501	1772	1554	1759	1621	1301	1525	1214	2338	1027	2690	1964	3216	1639
Xpot	2382	2599	1289	1674	1749	1774	2060	2385	1371	1577	2100	1658	1953	2176	3218	1999	2444	2027	6221	3324
D930020B18Rik	0	3	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0
BC048403	150	167	134	103	135	141	138	165	141	141	199	197	220	345	322	204	430	347	577	331
Srgap1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm9079	4	8	7	4	6	2	2	11	5	7	8	6	2	3	7	5	14	2	15	4
Tmem5	316	288	179	200	177	146	187	255	136	163	181	130	143	209	363	349	307	351	744	521
Gm4489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Avpr1a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A130077B15Rik	0	0	0	0	2	2	0	2	1	0	3	4	1	0	0	0	1	0	0	0
Ppm1h	1018	1105	381	725	476	509	1472	1878	831	1206	1298	1212	958	1184	3526	1911	2418	1703	4958	2689
Mir8104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mirlet7i	0	0	0	0	2	1	0	0	0	1	0	2	0	0	0	1	2	0	0	0
Mon2	1234	1434	753	965	1094	1103	1222	1460	1185	1198	1497	1056	1267	1322	1925	1069	1986	1389	2979	1629
Usp15	3352	3440	2578	2725	2981	2453	3025	3576	3145	2906	4807	3332	3395	3469	5442	2693	7139	5573	8809	4508
Fam19a2	1	3	2	1	4	2	3	1	2	2	10	9	2	9	1	0	10	7	5	0
4930503E24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Slc16a7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Lrig3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	3
Mir378d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930484H19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Xrcc6bp1	146	108	34	22	32	38	61	72	11	18	40	25	37	49	143	92	75	50	255	154
Ctdsp2	4377	4519	1833	2340	910	1087	3348	4186	1731	1948	1111	888	1170	1328	5427	3195	2731	1849	9298	4860
Mir26a-2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Mir546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Avil	32	22	9	12	11	8	27	27	14	15	12	9	147	126	421	222	24	16	52	17
Tsfm	494	495	203	302	296	372	276	361	169	145	277	267	485	685	1035	901	527	398	1293	1152
Mettl21b	8	4	4	3	3	5	2	5	3	1	0	2	1	2	10	6	1	1	8	6
Mettl1	205	289	219	271	193	285	187	232	212	233	340	304	460	905	462	593	561	609	842	921
Cyp27b1	11	14	9	13	15	13	4	9	3	1	3	3	24	7	13	4	15	4	5	1
March9	145	130	52	73	22	37	17	31	7	10	3	5	26	15	220	164	12	10	64	70
Cdk4	4217	4419	3182	3984	2922	3386	2936	3858	2905	3301	2360	2205	4182	5003	7022	5525	4055	2891	10098	6209
Tspan31	1690	1527	1070	1222	948	951	1015	1303	1005	1103	904	597	1115	1477	2469	2325	1245	755	3173	2504
LOC100504703	2	3	2	0	4	4	2	1	2	3	9	2	5	3	17	3	6	3	11	3
Agap2	572	651	236	271	301	386	646	728	240	245	235	231	287	193	1731	521	131	52	860	394
Os9	2378	2219	1595	1950	1304	1551	1839	2272	1733	1875	1329	1210	2203	2567	5863	4603	4357	2824	8760	5829
B4galnt1	2373	2215	1286	1470	1750	2183	2646	3454	1460	1690	1249	1348	2219	2294	4910	3293	4669	2665	9168	4513
Slc26a10	42	49	29	19	42	30	33	31	9	13	14	9	34	24	89	41	91	61	135	56
Arhgef25	75	146	50	99	57	43	87	99	41	46	26	21	74	27	309	70	59	15	171	65
Dtx3	185	302	106	173	113	144	266	365	136	179	55	63	168	100	690	205	137	49	493	148
F420014N23Rik	11	19	6	11	11	7	7	22	6	8	11	7	8	1	32	3	7	2	21	0
Pip4k2c	1343	1394	804	916	1057	1140	1254	1732	799	852	1007	981	1785	1905	3805	2377	3111	1936	5106	2995
Kif5a	209	406	64	131	28	21	464	557	88	119	14	17	38	39	1142	299	19	7	568	168
Dctn2	2105	1894	1643	1845	1397	1639	1970	2253	2078	2054	1755	1492	2446	2458	4963	2648	4111	2430	6202	3562
Mbd6	545	749	356	480	368	578	709	816	425	486	476	452	619	539	1911	601	1080	565	3011	1214
Ddit3	119	97	54	102	76	94	202	288	116	124	213	164	109	94	223	99	516	316	423	247
Mars	3319	2984	2171	2451	2378	2626	3340	3797	2867	3106	3147	2455	3723	4179	5037	3515	3999	2458	7091	4600
Arhgap9	1997	1912	1061	1296	360	447	2178	2950	1072	1586	350	386	279	242	2859	1810	206	81	4583	2860
Gli1	8	6	8	9	1	0	8	7	2	4	3	0	5	0	29	2	1	0	15	4
Inhbe	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Inhbc	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
R3hdm2	1427	1511	988	1088	1266	1359	1342	1651	1130	1169	1367	1220	1981	1541	3858	1294	3488	2346	7240	3411
Stac3	11	14	8	6	10	7	7	10	11	6	16	10	20	3	28	0	35	5	30	2
Ndufa4l2	0	0	0	1	0	1	0	0	0	0	1	1	0	3	0	0	2	1	0	0
Shmt2	4370	4034	2915	3745	2661	3201	4238	4940	3755	4095	3381	3065	4509	5269	8245	6804	4811	3920	13683	8119
Nxph4	5	7	0	2	0	0	13	20	1	5	3	1	1	5	28	24	3	2	15	12
Lrp1	83	101	48	70	48	109	746	1081	404	594	249	272	171	211	963	638	1208	613	4961	2221
Stat6	3082	3028	3065	3674	1908	2143	2248	2989	3630	4178	2133	1953	2976	3096	6075	3787	6002	3834	9708	5955
Nab2	1666	1622	1497	3201	500	710	1102	1295	1413	1892	677	677	853	1023	2014	1339	1171	535	2867	1563
1700012D01Rik	9	20	16	29	11	14	18	20	29	34	19	15	11	5	29	5	24	7	42	12
Tmem194	933	1029	953	1018	478	444	981	1065	1179	1086	588	470	486	595	1438	770	1756	1412	2434	1350
Myo1a	1	4	1	4	2	0	10	9	2	5	7	6	3	1	3	1	9	3	7	0
Tac2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zbtb39	332	393	260	261	229	267	276	371	321	314	293	258	384	334	529	225	778	523	1006	409
Gpr182	2	4	2	2	0	2	2	0	4	0	1	1	1	0	2	1	4	1	5	1
Rdh1	0	1	0	1	0	0	0	0	1	0	1	1	0	2	0	0	1	1	2	0
Rdh9	0	0	0	0	0	0	0	1	0	0	1	0	3	3	2	1	1	0	1	1
Rdh16	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Rdh18-ps	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rdh19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BC089597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rdh7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sdr9c7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hsd17b6	0	0	1	2	1	0	9	9	8	10	7	7	4	5	3	0	2	0	11	0
Prim1	1421	2101	1115	1702	1319	1232	1171	1504	1098	1239	993	840	1393	1572	3071	1851	920	655	2462	1519
Naca	8049	7948	6555	7772	6089	6348	6366	7512	7464	7713	7489	5335	8180	10888	13278	12428	9990	8036	19904	12174
Ptges3	3635	4179	3079	4245	4461	3855	2972	3206	3555	3746	4208	3258	5790	10341	8426	7059	6191	6905	9385	6159
Atp5b	27191	24092	22653	24290	18470	19662	16136	18644	19090	18497	18857	14151	25354	33278	42321	38532	35834	25827	61004	38048
Mir677	0	0	1	2	2	1	1	1	0	1	2	4	1	0	2	0	1	0	2	1
Baz2a	3229	3740	2551	2726	1986	1947	2776	3437	2323	2441	2374	1768	3069	2586	5468	2193	4748	3298	7618	3682
Rbms2	378	322	246	274	134	159	190	247	175	198	148	158	258	284	961	538	157	110	590	368
Gls2	136	142	89	111	64	72	43	52	35	27	43	45	153	141	325	177	111	55	180	111
Spryd4	229	260	226	232	199	194	157	164	219	166	249	169	327	431	455	294	378	278	536	311
Mip	2	9	1	5	2	6	3	8	4	3	21	5	3	11	21	6	23	32	35	15
Timeless	3581	3313	2472	2236	1619	1796	5429	7436	4080	3484	8164	6877	3929	4050	12541	6350	9421	5188	11552	6273
Apon	22	22	22	11	18	15	14	20	28	21	89	54	50	36	71	31	156	78	58	32
Apof	12	10	11	9	5	4	5	4	3	1	5	4	3	1	14	8	7	2	16	11
Stat2	1989	1767	1823	1131	2853	2817	2126	2678	2339	1187	7454	5852	4336	3758	4250	1633	19529	11328	6442	3014
Il23a	1	5	18	10	5	3	0	2	66	73	7	3	0	0	4	1	18	8	0	0
Pan2	400	681	334	498	384	438	632	791	501	605	518	498	644	553	1242	487	1172	686	1732	713
Cnpy2	562	572	446	402	396	467	405	553	365	424	374	321	603	685	1324	1306	858	628	1905	1241
Cs	8724	7632	5630	6013	5289	5344	6428	7690	5240	5543	6494	5056	7514	9881	13965	10661	12389	10179	23670	12600
Coq10a	155	153	68	66	78	93	99	151	66	41	75	68	140	120	391	208	153	78	433	242
Ankrd52	2915	3229	2155	2462	2459	3041	2034	2560	1639	1737	1821	1880	3306	3029	5075	1863	4824	3059	7569	3443
Mir6914	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir6915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Slc39a5	10	16	8	7	17	16	12	12	5	7	4	14	2	0	15	8	2	0	22	20
Nabp2	671	685	447	530	515	560	475	593	428	419	704	557	741	1057	1823	1262	986	785	2352	1455
Rnf41	725	714	506	393	686	699	487	642	403	314	560	473	829	1054	1315	986	1232	793	1951	1250
Mir8105	3	1	4	3	2	4	2	2	1	4	1	0	0	0	3	1	0	0	2	0
Smarcc2	2819	3141	1961	2419	2092	2546	2961	3609	2713	2786	2413	2385	3868	3542	8315	3722	5784	3915	10042	5264
Myl6	7387	6655	6373	7038	4822	6194	9201	10564	10540	10761	7439	6924	13060	18256	27618	30549	22921	17545	40457	26188
Myl6b	54	36	41	30	18	27	17	32	23	24	15	15	32	27	98	65	21	14	46	24
A430046D13Rik	14	23	8	3	8	6	16	24	2	2	6	6	12	3	67	26	5	6	49	11
Esyt1	5207	4105	3997	3846	2057	2278	4601	5698	4968	4935	2428	2331	3760	4862	9579	6569	7618	5401	11102	8366
Mir6916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Zc3h10	284	221	324	232	268	356	264	307	397	384	380	350	480	495	558	383	679	381	640	433
Rpl41	12718	11518	10641	11626	8776	14435	7469	8886	8504	9420	8163	8944	17461	22963	22310	23299	35402	20818	40380	24927
Pa2g4	8737	9379	7217	8794	7801	7475	5250	6206	6142	6179	7638	5231	8699	14613	11862	14057	5352	6166	14120	11258
Erbb3	3	3	0	1	1	1	0	0	0	0	0	1	5	1	1	0	0	0	0	2
Mir6917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rps26	9975	8243	7937	8336	6769	8417	5756	7097	7578	7749	7504	6097	10983	23269	24601	29154	20634	24179	36097	24913
Ikzf4	0	0	0	1	5	2	0	0	2	0	8	1	18	17	1	0	30	25	0	0
Suox	209	145	217	144	2497	2548	104	117	178	211	426	277	2052	3457	466	324	5043	4668	278	145
Rab5b	1146	1335	1151	1402	1121	1323	1160	1468	1910	2132	1090	983	1478	1645	2697	1303	2444	1967	3872	1927
Cdk2	1662	2019	1071	1288	1156	1247	1682	2042	1415	1444	846	940	1396	1259	3667	1647	2153	1393	4575	2429
Pmel	14	11	11	12	8	10	1	5	7	10	2	6	33	24	30	16	29	20	37	22
Dgka	13	20	10	15	16	18	4	3	1	1	0	3	13	10	66	21	41	22	27	13
Wibg	410	417	319	353	413	513	307	281	280	304	390	400	630	901	874	646	1080	792	1192	822
Mmp19	345	240	547	596	560	435	94	94	263	284	341	291	836	1030	558	288	1473	1199	331	159
Tmem198b	29	29	37	34	47	38	27	33	14	31	43	26	98	104	84	28	89	41	76	27
Dnajc14	1022	1072	861	859	888	1002	786	1022	830	791	873	765	1410	1302	2405	1360	2741	1467	3603	1943
Ormdl2	373	386	283	348	358	344	271	378	361	349	349	262	552	597	873	664	868	508	1243	808
Sarnp	579	538	466	606	502	542	486	555	717	585	667	518	742	1243	1132	1101	872	1065	1642	1164
Gdf11	4	3	0	0	1	2	1	0	0	0	1	0	3	2	14	4	8	1	3	5
Cd63	0	0	0	2	0	2	6	6	9	5	6	7	7	9	8	5	18	5	5	4
Rdh5	2	5	0	4	3	5	4	5	0	1	0	10	11	5	7	2	12	4	4	2
Bloc1s1	386	374	338	327	251	304	399	495	385	479	331	324	798	1030	1793	1519	1277	907	2108	1357
Itga7	0	0	0	2	1	0	0	0	0	0	0	0	0	0	2	0	1	1	1	1
Mettl7b	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr790	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr800	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir684-1	7	4	6	10	14	6	11	6	1	5	5	4	11	22	25	44	8	13	30	18
Olfr801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr820	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr824	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
Olfr825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Neurod4	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0
Tespa1	163	174	156	110	111	114	367	423	635	609	651	596	566	515	540	297	247	146	1496	748
Vmn2r84	0	3	2	2	2	1	5	7	9	6	25	12	5	1	2	0	3	0	13	2
Vmn2r85	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Vmn2r86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vmn2r87	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
Pisd-ps1	302	677	145	305	301	339	398	544	133	168	214	200	198	75	785	139	189	59	652	155
Sfi1	159	324	121	234	216	244	264	377	209	171	285	237	413	164	432	97	506	165	445	141
Eif4enif1	1998	2130	1460	1563	1367	1371	2061	2482	2044	2026	1921	1632	1761	1285	3298	1124	2416	1526	3824	1540
Mir3470a	4	2	0	2	1	0	1	3	2	4	1	5	2	1	5	1	0	1	4	1
Drg1	1874	2071	1430	1700	1904	1824	1705	2182	1749	1835	2186	1724	2457	3475	3326	2574	2348	1818	3448	1905
Patz1	324	409	80	130	114	128	396	571	119	111	146	151	243	307	830	516	145	91	518	295
Gm11944	10	11	0	2	1	0	9	13	1	0	1	1	5	6	21	2	0	2	8	4
Pik3ip1	37	28	16	13	5	7	73	109	14	21	16	19	11	7	65	46	8	11	61	27
Limk2	648	730	295	342	428	459	718	944	383	436	449	423	549	449	1485	623	507	255	1815	905
Rnf185	329	324	272	324	228	301	296	354	364	416	289	204	334	416	649	341	386	321	555	322
8430429K09Rik	36	47	15	16	33	33	31	38	19	29	26	22	45	33	82	44	26	20	75	35
Pla2g3	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0
Inpp5j	9	23	1	9	3	3	9	6	1	0	2	1	5	6	124	61	1	0	6	0
Selm	47	41	25	39	9	9	19	30	20	23	7	5	7	19	121	133	10	4	13	25
Smtn	154	157	36	39	37	52	233	261	86	114	100	81	151	164	572	267	197	71	489	243
Tug1	2061	2542	1499	2061	2326	1976	2592	3104	2280	2510	2926	2044	2395	3073	3708	1552	2897	2948	5226	2147
Morc2a	3235	3867	1675	2216	1771	1945	3839	5120	2268	2422	2365	2076	2048	2105	4959	2263	1608	1209	5554	2927
Osbp2	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	1	0	0	1
4921536K21Rik	0	0	1	0	0	0	2	1	2	4	2	3	1	0	0	0	1	1	3	2
Dusp18	0	0	0	0	0	0	24	21	33	11	27	13	3	0	3	3	2	3	9	3
Slc35e4	3	3	2	4	0	4	7	7	5	9	8	6	5	1	9	4	13	4	19	9
Tcn2	3	3	6	3	2	0	33	39	26	40	14	31	69	48	11	16	28	9	29	13
