Geneid	Ctrl_0h_R2	Ctrl_0h_R3	Ctrl_CpG_2h_R2	Ctrl_CpG_2h_R3	Ctrl_CpG_6h_R2	Ctrl_CpG_6h_R3	SMRT_0h_R2	SMRT_0h_R3	SMRT_CpG_2h_R2	SMRT_CpG_2h_R3	SMRT_CpG_6h_R2	SMRT_CpG_6h_R3
Mir6929	0	0	0	0	0	0	0	0	0	0	0	0
Rundc1	614	631	428	498	463	533	445	554	394	417	567	450
Rpl27	7181	6433	5979	6636	5238	5597	3061	4244	4133	4280	4329	3313
Ifi35	1677	1555	1410	1373	1914	2149	976	1324	1140	1195	2746	2284
Vat1	562	477	440	509	149	201	211	260	192	221	94	77
Rnd2	32	24	14	27	0	4	21	27	15	14	2	7
Brca1	1175	1609	958	1634	1102	1051	913	1153	1069	1363	728	558
Nbr1	1166	1324	467	456	1016	961	687	820	356	327	771	520
Tmem106a	172	178	118	99	447	439	220	284	235	175	800	662
LOC666331	0	0	1	1	0	0	0	0	0	0	0	0
Rdm1	83	76	61	67	39	34	33	46	35	33	17	8
Arl4d	21	14	4	1	7	11	3	7	5	1	0	4
Dhx8	2136	1964	1250	1173	1578	1703	1050	1285	906	873	1294	1092
Etv4	543	405	380	313	116	115	186	173	123	152	33	53
Meox1	0	0	0	0	0	0	0	0	0	0	0	0
4930417O22Rik	0	0	0	0	0	0	0	0	0	0	0	0
Sost	0	0	0	0	0	0	0	0	0	0	0	0
Dusp3	736	521	396	557	244	233	235	280	191	265	108	90
1700006E09Rik	0	0	0	0	0	0	0	0	0	0	0	0
Mpp3	0	0	0	0	0	0	0	0	0	0	0	0
Cd300lg	1	1	0	2	0	0	0	0	0	0	0	0
Mpp2	26	28	49	28	25	32	5	8	56	57	48	44
Ppy	0	0	0	0	0	0	0	0	0	0	0	0
Pyy	0	0	0	0	0	0	0	0	0	0	0	0
Nags	1	0	0	0	0	0	1	1	0	0	0	0
Tmem101	232	190	130	143	206	191	126	121	75	78	122	110
Lsm12	1254	1215	1098	1140	1235	1145	754	807	774	807	965	782
G6pc3	523	495	386	375	281	389	268	428	274	310	388	260
Hdac5	289	307	126	180	61	55	132	177	52	88	12	24
Mir8101	0	0	0	0	0	0	0	0	0	0	0	0
BC030867	368	387	256	274	204	262	190	231	202	184	191	136
Asb16	0	0	0	0	0	0	0	0	0	0	0	0
Tmub2	327	370	214	250	257	264	295	350	255	255	243	226
Atxn7l3	1814	1947	1557	1893	1144	1327	1395	1762	1647	1827	1368	1279
Ubtf	4287	4616	3879	4288	2704	3641	2575	3323	3257	3373	2967	3019
Slc4a1	0	0	0	0	0	0	0	0	0	0	0	0
Bloodlinc	0	0	0	0	0	0	0	0	0	0	0	0
Rundc3a	113	107	85	104	31	47	34	48	34	41	23	16
Slc25a39	2156	1874	1865	1875	1217	1547	1338	1830	1506	1675	1150	1255
Mir6930	0	0	0	0	0	0	0	0	0	0	0	0
Grn	8515	6375	5632	5476	2968	3841	8144	10355	7639	8065	5348	5056
Fam171a2	158	93	39	53	7	13	72	124	25	36	6	4
Itga2b	130	94	104	56	71	64	107	153	115	131	47	53
Gpatch8	1485	1612	1098	1111	1106	1174	1029	1272	991	1068	1008	812
Gm11627	0	0	0	0	0	0	0	0	0	0	0	0
Fzd2	12	12	2	4	2	1	4	3	0	2	0	0
2810433D01Rik	0	0	0	0	0	0	0	0	0	0	0	0
Gm1564	2	2	0	1	1	1	0	1	0	0	0	0
Ccdc43	664	765	455	565	614	543	519	568	482	485	484	385
Adam11	9	12	3	4	2	1	1	2	1	3	0	1
Gjc1	391	393	357	471	210	173	203	258	429	484	126	123
Higd1b	1	0	1	0	0	0	0	0	0	0	0	0
Eftud2	4546	4346	3428	3952	3715	4087	2410	2992	2759	2759	3414	2719
Ccdc103	0	1	1	2	1	1	0	1	2	1	1	0
Fam187a	0	0	0	0	0	0	0	0	0	0	0	0
Gfap	4	4	4	1	2	4	0	2	0	0	2	1
Kif18b	907	1059	510	588	666	869	745	775	471	415	595	484
C1ql1	7	6	3	11	3	4	0	0	0	1	0	0
2410004I01Rik	0	0	0	0	0	0	0	0	0	0	0	0
Dcakd	334	372	198	178	381	463	233	286	155	148	309	314
Mir6931	0	0	0	0	0	0	0	0	0	0	0	0
Nmt1	2867	2564	2073	2167	2674	2740	1801	2016	1729	1962	2202	1776
Plcd3	259	304	139	212	127	151	92	95	75	71	66	60
Acbd4	92	94	72	82	110	106	51	68	26	35	45	52
Hexim1	779	699	431	557	817	995	290	364	264	305	496	517
Hexim2	39	46	27	33	42	51	8	18	12	12	25	12
Fmnl1	2240	2264	1651	2014	1863	2357	1300	1684	1180	1203	1188	1177
1700023F06Rik	0	0	1	0	0	0	0	0	0	0	0	1
Spata32	0	0	0	1	1	1	0	0	0	0	1	0
Map3k14	548	570	2037	3377	1964	2414	323	413	1021	1020	1747	1591
Arhgap27	1125	1143	1008	1012	255	390	666	879	596	540	137	139
Arhgap27os3	0	3	3	6	2	4	1	3	0	5	2	0
Plekhm1	1728	1770	407	524	563	663	1135	1456	295	331	490	386
Gm884	0	0	0	0	0	0	0	0	0	0	0	0
Lyzl6	0	0	0	0	0	0	0	0	0	0	0	0
1700072I22Rik	0	0	0	0	0	0	0	0	0	0	0	0
Rprml	0	0	0	0	0	0	0	0	0	0	0	0
Gosr2	1905	1894	1556	2031	1292	1438	1068	1447	1151	1381	1142	989
C130046K22Rik	10	10	10	23	5	8	5	5	3	9	1	4
Wnt9b	0	0	0	0	0	0	0	0	0	0	0	0
Wnt3	0	0	0	0	0	0	0	0	0	0	0	0
Nsf	2214	2302	1393	1752	1946	1843	899	1115	655	742	893	746
Arf2	907	954	813	1390	1190	1099	462	602	719	805	514	384
Crhr1	0	0	0	0	0	0	0	0	0	0	0	0
Sppl2c	0	0	0	0	0	0	0	0	0	0	0	0
Mapt	3	0	5	2	0	2	2	2	1	1	1	0
Kansl1	1399	1544	995	1408	1059	1152	841	1039	1060	1099	874	819
Cdc27	1667	1925	1705	1958	2499	2029	1280	1393	1674	1685	1670	1210
Myl4	0	1	0	0	3	2	3	0	3	1	3	4
Gm11665	0	0	0	0	0	0	0	0	0	0	0	0
Itgb3	1	0	0	0	0	0	0	0	0	0	0	0
Efcab3	0	0	0	0	0	0	0	0	0	0	0	0
Mettl2	450	487	461	596	612	716	242	315	399	415	560	455
Tlk2	1808	1808	1773	1755	2086	1823	834	927	1297	1306	1776	1220
1700052K11Rik	26	25	39	34	37	52	25	28	46	44	56	62
Mrc2	0	0	4	1	1	0	0	0	1	2	18	12
March10	0	0	0	0	0	0	0	0	0	0	0	0
Tanc2	778	937	400	636	224	205	645	1030	455	792	255	243
Cyb561	107	115	86	113	46	59	80	95	85	93	43	36
Gm11651	0	0	0	0	0	0	0	0	0	0	0	0
Ace	0	0	0	0	0	0	2	0	1	0	0	3
Ace3	0	0	0	0	0	0	0	0	0	0	0	0
Kcnh6	0	0	0	2	0	1	1	0	0	0	0	0
Dcaf7	4851	4884	2701	3186	3223	3476	3279	4110	2484	2672	3537	3068
Taco1	231	238	108	91	181	158	83	162	84	63	153	137
Map3k3	1778	1845	1220	1244	1132	1128	1033	1229	988	978	785	740
Limd2	603	444	444	445	425	441	331	384	296	319	334	345
Strada	585	628	405	438	484	558	590	623	514	520	637	494
Ccdc47	1947	2254	1105	1302	1591	1309	1464	1806	903	929	1298	845
Ddx42	2127	2316	1872	2259	2423	2341	1730	1928	1859	1894	1996	1649
Ftsj3	4160	4486	3865	4621	4620	4842	2022	2413	3058	3093	3230	2541
Psmc5	2888	2736	2368	2697	2948	3121	1511	1675	1777	1766	2375	1972
Smarcd2	1788	2105	956	1422	1309	1356	1085	1556	762	951	1097	986
Tcam1	6	1	1	0	2	2	5	8	6	3	16	7
Gh	0	0	0	0	0	1	0	0	0	0	0	0
Cd79b	1	1	0	0	15	24	0	0	0	1	0	1
Scn4a	0	0	0	0	2	0	0	0	0	0	0	0
Prr29	0	0	0	0	0	0	0	0	0	0	0	0
Icam2	12	12	4	6	8	4	2	6	0	9	0	2
Ern1	512	612	358	336	650	614	373	544	316	255	613	597
Snord104	19	51	22	32	35	72	27	37	30	35	46	56
Tex2	390	416	189	182	242	208	265	361	130	153	138	144
Pecam1	2	1	0	0	17	28	5	1	0	0	40	26
Milr1	217	276	101	105	351	332	313	412	194	168	422	359
Polg2	72	81	12	25	38	42	52	71	28	20	40	36
Ddx5	16898	21204	14949	22133	16895	14546	16606	18771	18929	20010	18984	14235
Mir3064	43	67	39	82	113	96	43	42	69	69	76	49
Cep95	158	216	103	125	215	231	168	212	107	111	248	165
Smurf2	826	924	670	760	611	567	705	811	724	809	661	483
Kpna2	5988	6014	4124	4985	5383	5054	3786	3832	3739	3663	3900	2828
1810010H24Rik	5	3	1	2	0	2	5	3	1	2	0	2
Bptf	3594	3977	1628	1994	1781	2125	2708	3172	1715	1830	2113	1908
Gm11715	0	2	1	0	0	0	0	1	1	0	1	0
Nol11	1538	1744	1222	1460	1405	1375	976	1125	1140	1074	1326	959
Pitpnc1	50	59	30	46	35	35	28	56	20	22	9	2
Psmd12	2280	2384	1949	2189	2404	2167	1583	1762	1900	1786	2270	1659
Helz	1292	1295	830	958	982	1138	612	748	601	607	648	551
Mir6932	0	0	0	0	0	0	0	0	0	0	0	0
Cacng1	0	0	0	0	0	0	0	0	0	0	0	0
Cacng4	0	0	0	0	0	0	0	0	0	0	0	0
Cacng5	0	0	0	0	0	0	0	0	0	0	0	0
Prkca	0	1	2	0	0	0	1	0	1	0	0	0
Mir7223	0	0	0	0	0	0	0	0	0	0	0	0
Apoh	0	0	0	0	0	0	0	0	0	0	0	0
Cep112	1	0	0	0	0	0	34	44	32	37	18	15
Axin2	0	0	0	0	0	0	0	0	0	0	0	0
E030025P04Rik	0	0	0	0	0	0	0	0	0	0	0	0
Rgs9	45	29	327	373	217	173	1	5	42	55	31	26
1700096J18Rik	1	2	2	3	1	0	3	2	0	2	1	3
Gm11696	21	23	21	34	17	16	18	23	15	20	26	17
Gna13	3384	3750	3176	4333	2046	1964	2467	2877	2069	2091	2262	1686
Amz2	508	485	327	457	310	356	351	409	289	324	351	265
LOC100503496	0	3	0	0	1	1	0	2	0	0	1	0
Slc16a6	341	468	358	441	632	680	142	183	133	117	230	181
Arsg	13	6	4	6	6	2	1	7	3	1	1	0
Wipi1	10	9	9	10	4	2	5	9	4	7	3	6
Prkar1a	6573	6141	5606	6596	5468	5138	4890	5824	5426	5648	5132	4083
Fam20a	0	0	0	0	0	0	0	0	0	0	0	0
1700012B07Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700023C21Rik	0	0	0	0	0	0	0	0	0	0	0	0
Abca8b	0	0	0	0	0	0	0	1	0	0	0	0
Abca8a	0	0	0	0	0	0	0	0	0	0	0	0
Abca9	0	1	0	0	0	0	0	0	0	0	0	0
Abca6	0	0	0	0	0	0	0	0	0	0	0	0
Abca5	55	71	84	105	65	57	243	277	315	361	66	86
Map2k6	337	430	107	208	56	64	153	238	46	68	6	7
Kcnj16	0	0	0	0	0	0	1	1	0	0	0	0
Kcnj2	27	21	0	2	10	4	51	87	1	1	1	3
BC006965	0	0	0	0	0	0	0	0	0	0	0	0
Sox9	0	0	0	0	0	0	0	0	0	0	0	0
Gm11681	0	0	0	0	0	0	0	0	0	0	0	0
1700012H19Rik	0	0	0	0	0	0	0	0	0	0	0	0
2610035D17Rik	21	17	18	11	3	1	14	14	5	11	1	5
4732490B19Rik	0	0	1	0	1	1	0	4	0	0	1	0
Slc39a11	439	458	337	452	138	180	227	311	244	270	162	132
Sstr2	2	0	0	1	1	1	2	0	0	0	1	0
Cog1	919	906	543	667	663	746	600	723	492	483	564	496
Fam104a	919	899	650	709	680	824	591	661	542	562	584	599
D11Wsu47e	242	242	239	241	228	274	109	135	129	148	153	152
Cpsf4l	1	4	5	6	7	5	1	5	5	4	9	9
Cdc42ep4	379	352	166	237	96	90	286	350	160	160	146	128
Sdk2	0	0	0	0	0	0	0	0	0	0	0	0
1700092K14Rik	0	0	0	0	0	0	0	0	0	0	0	0
Mir466n	0	0	0	0	0	0	0	0	0	0	0	0
4932435O22Rik	0	0	0	0	0	0	0	0	0	0	0	0
Rpl38	2704	2500	2200	2592	1941	2921	1210	1517	1500	1653	1457	1467
Ttyh2	224	152	59	59	28	32	21	19	11	10	10	8
Dnaic2	0	0	0	0	0	0	0	0	0	0	0	0
Kif19a	0	0	2	0	0	1	0	0	0	0	0	0
Btbd17	0	0	0	0	0	0	0	0	0	0	0	0
Gpr142	0	0	0	0	0	0	0	0	0	0	0	0
Gprc5c	1	0	24	4	0	0	1	0	53	40	1	4
Cd300a	29	20	19	11	3	15	2	3	1	3	4	4
Cd300lb	0	0	0	1	0	0	0	0	0	0	0	0
Cd300c	0	0	0	0	0	0	0	0	0	0	0	0
Cd300ld	0	0	0	0	1	0	0	0	0	0	0	0
AF251705	6	3	3	3	0	2	0	2	0	1	0	2
Gm11710	0	0	0	0	0	0	0	0	0	0	0	0
Gm11711	0	0	0	0	0	0	0	0	0	0	0	0
Cd300lh	0	0	0	0	0	0	0	0	0	0	0	0
Cd300e	0	0	1	0	6	10	0	0	4	1	2	6
Rab37	0	0	0	0	0	0	0	0	0	1	0	0
Cd300lf	0	0	0	1	0	0	5	8	2	2	0	3
Slc9a3r1	562	516	471	523	519	658	443	562	1291	1299	923	987
Nat9	74	63	48	64	83	98	50	84	42	58	85	72
Tmem104	148	170	49	29	127	167	111	132	34	20	76	104
Grin2c	0	0	0	0	0	0	0	0	0	0	0	0
Fdxr	137	178	47	80	156	144	73	133	58	53	108	107
Fads6	2	5	2	7	2	5	3	1	1	0	1	2
Otop2	0	0	0	0	0	0	0	0	0	0	0	0
Ush1g	0	0	0	0	0	0	0	0	0	0	0	0
Otop3	0	0	0	0	0	0	0	0	0	0	0	0
Hid1	4	2	3	3	0	0	5	3	1	4	0	0
Cdr2l	38	56	23	24	9	6	23	36	7	9	5	8
Ict1	503	445	314	357	286	327	237	350	259	248	275	224
Atp5h	2570	2128	2331	2406	2140	2175	1667	1947	2369	2296	2106	1641
Kctd2	227	285	218	200	188	218	227	317	272	257	200	193
Trim80	0	0	0	0	0	0	0	0	0	0	0	0
Mir3968	0	0	0	0	0	0	0	0	0	0	0	0
Slc16a5	2	1	1	0	1	0	1	0	1	1	1	1
Armc7	454	390	386	464	341	416	447	640	495	523	483	442
Nt5c	807	764	464	541	408	426	315	331	241	206	268	205
Hn1	3618	3581	2365	2966	2346	2433	2046	2226	1881	1926	1970	1572
Sumo2	2026	2124	1629	2083	1966	1835	1460	1707	1695	1739	1754	1340
Nup85	1796	2258	1315	1907	2077	2292	1065	1330	1283	1362	1602	1428
Gga3	776	1009	744	950	1037	1174	662	859	930	975	912	830
Mrps7	1340	1297	1739	1793	2135	2530	586	778	1434	1448	1634	1391
Mif4gd	704	754	813	1056	1292	1520	408	470	879	803	893	814
Slc25a19	438	442	848	839	1381	1815	289	288	790	701	1062	1124
Grb2	4243	4368	3578	3749	5657	6218	3181	3971	3394	3394	5398	4648
2310067B10Rik	930	913	604	647	536	579	525	705	386	465	386	399
Mir5621	0	0	0	1	0	0	0	0	0	0	0	0
Caskin2	714	779	561	599	800	1053	258	304	309	270	300	322
Tsen54	446	500	304	349	476	614	246	299	279	298	436	450
Llgl2	144	194	157	225	132	180	94	119	133	117	63	70
Recql5	230	345	126	177	295	343	204	289	169	151	348	313
Smim5	1	6	0	5	7	1	0	4	2	3	1	6
Smim6	5	5	5	5	7	9	3	4	2	5	4	2
Sap30bp	784	736	640	680	725	739	492	584	636	655	707	580
Itgb4	4	0	1	3	0	1	0	5	1	0	0	1
Galk1	516	468	393	396	177	232	169	212	168	199	90	86
H3f3b	9385	11422	7614	11486	9426	9315	4430	4949	5681	6447	8413	6767
Unk	399	564	300	484	394	564	246	348	249	311	317	303
Unc13d	310	290	157	175	118	107	298	373	141	189	109	99
Wbp2	1506	1259	929	959	996	1205	1096	1239	930	939	988	905
Trim47	2	2	0	0	1	0	12	10	13	17	4	3
Trim65	126	153	21	33	60	41	61	68	4	9	14	11
Mrpl38	656	632	450	515	629	771	275	334	257	238	460	413
Fbf1	349	413	280	274	393	534	157	196	136	125	222	251
Acox1	879	857	445	618	769	694	724	924	413	515	878	669
Ten1	308	275	216	243	153	178	227	257	178	210	183	164
Cdk3-ps	1	6	1	4	2	2	10	6	0	4	4	3
Evpl	0	2	0	0	0	0	0	1	0	0	0	0
Srp68	2088	2090	1382	1643	1400	1595	1252	1423	1151	1145	1311	1044
Galr2	8	3	1	3	0	1	2	6	4	0	1	1
Exoc7	611	731	406	565	430	498	426	540	351	417	361	328
Foxj1	23	21	7	15	8	7	12	12	7	8	8	16
Rnf157	490	424	511	359	323	299	693	808	454	438	500	535
Ubald2	2	0	1	1	1	1	1	0	0	0	0	10
Gm7367	0	0	0	0	0	0	0	0	0	0	0	0
Qrich2	2	6	3	7	2	0	0	3	0	5	5	3
Prpsap1	1500	1394	756	846	1031	953	768	859	490	466	716	590
Sphk1	0	1	1	2	1	0	0	1	0	2	0	3
Ube2o	1047	1049	832	823	793	918	490	609	529	536	633	587
Aanat	1	0	1	1	2	2	0	0	2	6	2	2
Rhbdf2	381	382	1752	2141	809	1072	203	249	2144	2099	755	897
Cygb	1	0	0	0	0	0	1	0	0	0	0	1
Gm11744	2	2	2	1	2	0	0	1	0	0	0	0
1810032O08Rik	109	277	135	296	168	198	130	158	220	213	199	141
Snord1c	1	0	4	2	1	0	0	1	0	2	1	0
Snord1b	1	2	6	0	1	1	0	0	0	4	1	1
Snord1a	0	0	0	0	0	0	0	0	0	0	0	0
St6galnac2	5	7	3	3	4	1	6	8	7	8	0	1
BC018473	7	2	4	0	0	0	3	3	3	0	0	0
St6galnac1	10	5	1	2	0	1	2	3	2	1	1	0
Mxra7	1	0	0	1	1	0	22	5	9	10	0	3
Jmjd6	849	971	400	574	566	675	491	585	434	408	509	476
Mettl23	147	169	99	145	117	112	121	181	100	107	136	87
Srsf2	7483	9534	5915	8743	8496	8597	6670	7392	6352	6993	7814	6978
Mfsd11	541	680	285	344	468	498	376	425	225	249	308	242
Mgat5b	0	0	0	0	0	0	0	0	0	0	0	0
Snhg20	33	78	40	93	60	61	36	63	47	58	53	41
Mir6516	5	9	4	12	7	8	6	6	3	5	8	0
Sec14l1	545	575	283	276	496	471	387	385	221	238	253	227
Sept9	6225	6280	2469	3557	1824	1845	5902	7539	2786	3575	3208	2463
Gm11729	0	0	0	0	0	0	0	0	0	0	0	0
Gm11733	0	0	0	0	0	0	0	0	0	0	0	0
2900041M22Rik	0	0	2	0	0	0	0	0	0	0	0	0
Tnrc6c	962	1025	540	757	583	690	531	639	375	466	438	370
Tmc6	195	217	102	144	57	51	94	157	54	71	22	23
Tmc8	17	22	10	8	9	9	6	18	4	5	2	1
6030468B19Rik	1	1	1	2	0	0	0	1	2	2	0	3
Syngr2	3535	3055	3364	3700	1885	1999	1733	2203	2556	2791	1277	1212
Tk1	1426	1625	824	1093	685	861	998	1102	867	908	712	639
Afmid	71	82	68	53	72	52	46	61	57	53	46	43
Birc5	1541	1694	1048	1422	1296	1357	1120	1144	993	951	869	690
Tmem235	0	3	0	2	1	1	0	0	2	2	0	3
Tha1	1	2	8	2	40	33	1	1	0	1	1	2
Socs3	14	11	914	1159	4624	5681	5	1	1601	2138	556	734
Pgs1	829	920	1956	1912	3083	3468	603	731	2240	2221	1652	1713
Mir6933	0	0	0	0	0	0	0	0	0	0	0	0
Dnah17	15	33	60	63	107	87	14	34	105	102	68	43
Cyth1	334	427	275	275	207	303	169	239	203	208	149	143
Usp36	734	966	694	994	727	879	472	600	546	707	674	705
Timp2	0	0	0	0	0	0	0	0	0	0	0	0
BC100451	0	0	0	0	0	0	0	0	0	0	0	0
Lgals3bp	548	316	424	260	1423	1816	210	295	264	209	2555	2329
Cant1	650	676	398	384	790	924	448	538	318	270	730	640
C1qtnf1	4	4	1	1	0	0	2	5	1	2	1	0
Gm11747	0	1	0	0	0	0	0	0	0	0	0	0
Engase	166	189	82	118	67	99	77	96	21	35	57	66
Rbfox3	0	0	0	0	0	0	0	0	0	0	0	0
Enpp7	0	0	0	0	0	0	0	0	0	0	0	0
Cbx2	364	395	159	295	104	141	132	183	62	120	23	26
Cbx8	191	178	13	19	32	34	58	80	4	2	13	6
Cbx4	534	636	122	185	254	276	199	261	38	50	62	69
Tbc1d16	7	11	5	9	3	5	4	6	0	3	6	4
Mir6934	0	0	0	0	0	0	0	0	0	0	0	0
Ccdc40	0	0	0	1	0	2	2	2	0	0	0	4
Gaa	718	684	452	581	285	401	274	366	232	293	190	200
Eif4a3	3604	3405	2587	3028	2912	3080	1791	2133	2033	2116	2273	1893
Card14	0	1	0	1	0	0	0	0	0	0	1	0
Sgsh	86	114	5	19	4	4	90	128	7	11	3	5
Slc26a11	21	51	6	18	0	4	56	72	6	7	9	3
Mir1932	0	0	1	0	0	0	0	1	0	0	1	2
Endov	101	143	83	130	122	140	98	120	75	86	122	88
Nptx1	0	0	0	0	0	0	0	0	0	2	0	0
Gm11762	0	0	0	0	0	0	0	0	0	0	0	0
Rptor	993	969	731	799	919	1128	472	629	444	567	756	694
Rptoros	2	4	3	2	3	0	1	1	0	0	1	1
Mir5098	1	2	4	2	1	2	0	1	4	2	5	2
Chmp6	362	349	201	197	196	290	259	320	145	142	232	188
Baiap2	857	1090	524	862	412	512	518	851	284	337	200	164
Aatk	1	1	1	0	0	0	0	1	0	0	0	0
Mir338	0	0	0	0	0	0	0	0	0	0	0	0
Mir3065	0	0	0	0	0	0	0	0	0	0	0	0
Cep131	75	79	36	64	29	42	22	47	9	21	6	15
Enthd2	161	234	134	179	235	268	143	205	151	164	180	210
1810043H04Rik	201	163	118	141	129	163	117	134	99	134	128	130
Slc38a10	2190	1958	1442	1719	1143	1320	1251	1548	1393	1465	880	833
2810410L24Rik	2	2	1	2	0	0	0	0	0	0	0	0
Bahcc1	322	370	54	63	47	47	2	1	1	0	4	3
Actg1	62968	51214	48946	59662	20464	23052	32951	40651	39726	44085	13033	11708
Mir6935	8	18	2	14	14	10	5	8	14	10	8	2
0610009L18Rik	4	5	10	6	10	9	10	11	8	9	3	4
Fscn2	11	9	4	7	4	1	1	1	3	0	0	2
Faap100	372	403	174	271	170	242	267	322	190	221	127	124
Nploc4	3364	3200	2868	3339	3082	3194	1698	2141	2333	2446	2074	1925
Tspan10	0	0	0	0	1	0	0	0	0	0	0	0
Pde6g	0	2	0	0	1	2	0	0	1	0	1	2
Oxld1	21	23	13	19	18	17	14	18	1	1	10	17
Ccdc137	249	380	222	310	283	340	218	210	239	189	247	219
Arl16	114	124	85	104	126	126	93	122	55	65	92	81
Hgs	1368	1221	980	1051	1172	1459	1125	1392	1051	1055	1089	994
Mrpl12	1288	1203	839	971	1092	1246	757	883	612	666	1074	910
Slc25a10	1609	1546	1065	1341	3460	3861	897	1159	851	1035	1347	1437
Gcgr	0	1	0	0	0	0	4	5	0	3	1	0
Fam195b	319	344	219	274	317	388	351	481	284	321	388	447
Ppp1r27	0	2	0	0	0	0	1	0	1	1	3	0
P4hb	16466	15844	11427	14575	6066	7212	9310	12690	8618	10397	4177	3769
Arhgdia	14598	13877	10246	12411	9478	12682	10162	12573	10363	11256	9593	9885
Alyref	3029	3009	2103	2680	2037	2419	1664	2048	1654	1858	1661	1486
Anapc11	632	709	440	619	328	472	567	768	561	582	339	338
Npb	4	2	0	2	1	3	6	0	2	2	0	1
Pcyt2	825	1347	724	1221	1437	1596	1180	1413	1171	1241	1374	1419
Sirt7	839	913	433	552	953	960	782	991	491	494	889	817
Mir6936	0	0	0	0	0	0	0	0	0	0	0	0
Mafg	413	514	305	400	463	453	332	364	236	268	238	218
Pycr1	42	45	22	46	25	30	74	94	62	89	24	21
Myadml2	0	0	0	0	0	0	0	0	0	0	0	0
Notum	5	6	3	1	7	7	0	0	1	1	0	0
Aspscr1	828	875	534	673	551	629	633	789	541	602	473	457
Stra13	415	400	395	462	370	449	322	371	336	350	306	253
Lrrc45	194	374	137	223	244	292	258	330	199	217	197	177
Rac3	41	42	19	29	58	40	14	21	18	17	22	25
Dcxr	100	90	83	74	133	126	74	102	78	85	82	61
Cbr2	0	0	0	0	0	0	0	0	0	0	0	0
Rfng	239	267	118	180	138	136	144	173	73	101	85	96
Gps1	1420	1547	957	1296	1345	1378	840	1050	848	916	1136	959
Dus1l	955	984	609	772	841	847	509	619	491	463	609	518
Fasn	15757	15988	10357	11866	15328	18527	9715	12698	8629	9810	10267	12287
Ccdc57	18	36	8	14	16	16	20	26	12	12	10	19
Slc16a3	535	504	405	467	125	172	125	203	179	189	56	62
Csnk1d	3756	3718	2784	3353	2839	3320	1908	2473	2103	2376	2272	2071
Cd7	0	0	0	0	0	0	0	0	0	0	0	0
Sectm1b	0	0	0	0	0	0	1	0	0	0	0	0
Sectm1a	2	0	0	0	0	0	1	3	1	1	1	2
Tex19.2	1	0	0	2	1	2	0	0	1	0	0	0
Tex19.1	0	0	1	1	0	2	0	0	0	0	1	2
Uts2r	0	0	0	0	0	0	0	0	0	0	0	0
Ogfod3	91	93	61	51	25	26	43	41	39	41	26	16
Hexdc	46	85	38	49	61	49	41	51	19	23	23	22
BC017643	1164	1451	417	597	875	879	672	829	310	338	624	466
Narf	472	452	87	137	204	168	227	261	52	79	64	52
Foxk2	2343	2275	1148	1225	1828	1904	1599	1914	1312	1127	1507	1403
Wdr45b	805	838	595	818	1334	1295	498	626	542	561	596	487
Rab40b	3	1	2	1	1	2	1	3	1	3	1	0
Mir7236	0	0	0	0	0	0	0	0	0	0	0	0
Fn3krp	89	101	30	42	81	67	37	59	25	26	34	35
Fn3k	0	0	0	0	0	0	0	0	0	0	0	0
Tbcd	1282	1201	854	953	787	781	621	780	578	570	566	446
Zfp750	1	0	0	2	1	0	2	2	0	1	0	0
B3gntl1	69	87	48	43	59	63	43	82	23	19	45	25
Metrnl	70	56	26	63	38	45	6	11	6	7	3	6
Ptchd3	0	0	0	0	0	0	0	0	0	0	0	0
Rab10os	213	193	212	240	214	234	215	298	299	342	309	302
Rab10	8373	8640	13637	13916	12910	11041	7274	8330	14466	14538	13946	11930
Kif3c	308	273	230	133	438	416	153	199	167	102	182	186
1110002L01Rik	52	45	24	30	71	71	53	42	36	30	87	58
Asxl2	2991	3767	1643	1767	3139	3082	2975	3762	2178	2043	3763	2958
Dtnb	543	552	424	545	281	353	456	601	484	588	368	315
Dnmt3a	2711	2373	2812	1888	926	1022	1199	1801	1724	1330	1032	1114
Dnmt3aos	3	2	2	3	2	3	1	3	4	1	2	0
Pomc	0	1	0	1	0	3	2	5	1	4	15	10
Efr3b	8	2	15	19	3	7	3	5	8	8	0	3
Dnajc27	273	389	220	353	180	202	218	230	259	313	190	185
Adcy3	28	59	14	19	20	20	48	76	21	12	37	33
Cenpo	846	1014	371	407	536	613	897	1149	342	298	723	640
Ptrhd1	531	472	234	244	228	242	418	565	306	279	327	254
Ncoa1	1032	1182	311	668	416	379	712	958	309	528	403	399
Itsn2	4134	4531	2315	2516	2726	2845	3660	4733	2576	2593	3181	2611
Fam228a	0	2	0	2	0	0	1	1	2	1	2	0
Fam228b	6	8	5	3	11	1	7	3	2	3	5	0
Pfn4	1	5	1	0	9	1	4	2	0	0	3	2
Gm6682	126	124	83	112	93	63	123	119	165	137	90	44
Sf3b6	1705	1790	1444	1709	1765	1475	1712	2002	2000	2054	2190	1457
Fkbp1b	49	58	21	57	10	16	7	21	7	23	2	3
BC068281	95	92	67	75	76	98	80	95	86	81	78	68
Mfsd2b	10	22	25	43	68	59	20	19	28	39	53	49
Ubxn2a	1417	1618	3558	3627	2825	2439	958	1175	4391	4328	2503	2260
Atad2b	2757	3343	2417	2320	2313	2086	2816	3433	3366	2876	3350	2750
